epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total,zeta_hat,omega_0_hat
50,0.0688980296254158,2.6136839389801025,0.000328508613165468,0.08030205219984055,0.09831995517015457,1.3759181499481201,4.293409824371338
100,0.06785992532968521,1.0116060972213745,0.00012718462676275522,0.07481682300567627,0.07924783229827881,1.1354039907455444,4.250682353973389
150,0.10254200547933578,0.4134403467178345,6.045868212822825e-05,0.06726641207933426,0.10728099197149277,0.9379165172576904,4.223917484283447
200,0.08863728493452072,0.6170732975006104,3.548329186742194e-05,0.06434986740350723,0.09516285359859467,0.8066264390945435,4.178555011749268
250,0.09250987321138382,0.7907950282096863,0.00015229597920551896,0.06173001974821091,0.10194078087806702,0.7266457080841064,4.1049041748046875
300,0.06681603193283081,0.7782374620437622,0.00046603340888395905,0.058804046362638474,0.0792587399482727,0.6559774279594421,4.002291679382324
350,0.047417763620615005,0.6324381828308105,5.198765575187281e-05,0.0551842600107193,0.05426201969385147,0.6069784164428711,3.863736391067505
400,0.05309596285223961,0.803737223148346,0.00031913374550640583,0.05126713961362839,0.06432467699050903,0.5784351229667664,3.725024461746216
450,0.05625596269965172,0.838362991809845,0.0002503350260667503,0.042729225009679794,0.06714294105768204,0.5155191421508789,3.5611746311187744
500,0.04077423736453056,0.7801188230514526,0.0006632021395489573,0.03758343309164047,0.055207446217536926,0.46003255248069763,3.3446264266967773
550,0.05867408588528633,1.3774884939193726,0.00011821328371297568,0.031425874680280685,0.07363110035657883,0.40977558493614197,3.120304584503174
600,0.022933190688490868,1.0034805536270142,0.0002900415856856853,0.023442910984158516,0.035868410021066666,0.3519410490989685,2.8991897106170654
650,0.03320753574371338,0.4230056405067444,6.026811388437636e-05,0.01608629710972309,0.038040272891521454,0.291797935962677,2.678706169128418
700,0.01591760292649269,0.4174022674560547,0.0004230010090395808,0.014419500716030598,0.02432163432240486,0.24873892962932587,2.4786691665649414
750,0.01009937934577465,0.3373976945877075,8.126109605655074e-06,0.011269042268395424,0.013554616831243038,0.21905656158924103,2.315753936767578
800,0.014805727638304234,0.29364198446273804,7.706433825660497e-05,0.006740513723343611,0.018512791022658348,0.19937489926815033,2.19712495803833
850,0.00953458622097969,0.13148626685142517,0.00022633722983300686,0.004415028728544712,0.01311282068490982,0.18701595067977905,2.10306453704834
900,0.009867776185274124,0.10687378793954849,4.595172140398063e-05,0.0057809255085885525,0.011396030895411968,0.1773083657026291,2.0464255809783936
950,0.0056792027316987514,0.10383950918912888,6.020784712745808e-05,0.0034658487420529127,0.0073196766898036,0.17413730919361115,2.008704662322998
1000,0.011046482250094414,0.1290503293275833,2.96602684102254e-05,0.0040372032672166824,0.012633588165044785,0.17340818047523499,1.9896419048309326
1050,0.004906410351395607,0.13455119729042053,2.9014950996497646e-05,0.003315507899969816,0.00654207170009613,0.17157605290412903,1.9758687019348145
1100,0.003520459635183215,0.07095678895711899,2.4682278308318928e-05,0.0035770561080425978,0.004476850386708975,0.17132247984409332,1.9632923603057861
1150,0.003101994749158621,0.07196123152971268,5.9719164710259065e-05,0.0027333961334079504,0.0044187987223267555,0.1686284989118576,1.9701149463653564
1200,0.006424892693758011,0.08522680401802063,9.770268661668524e-05,0.002202546689659357,0.008254188112914562,0.16691848635673523,1.9748928546905518
1250,0.01183751504868269,0.05117117986083031,0.00016292239888571203,0.0038609120529145002,0.013978450559079647,0.16654734313488007,1.9845577478408813
1300,0.009106358513236046,0.09901264309883118,0.0003069928498007357,0.004461329896003008,0.013166412711143494,0.16747543215751648,1.9867150783538818
1350,0.005268268287181854,0.08756557106971741,2.2850090317660943e-05,0.0016908368561416864,0.006372424773871899,0.173191100358963,1.9930121898651123
1400,0.004482591990381479,0.0845075249671936,0.00013601694081444293,0.0018782479455694556,0.006687836721539497,0.16806599497795105,1.9936832189559937
1450,0.0037635257467627525,0.07702917605638504,6.017183113726787e-05,0.0018617751775309443,0.005135535728186369,0.16701573133468628,1.9894496202468872
1500,0.004896877333521843,0.060227811336517334,0.00011817802442237735,0.005541107151657343,0.006680935621261597,0.17079037427902222,1.9891515970230103
1550,0.0035977852530777454,0.07352864742279053,2.1658008790836902e-06,0.0016944578383117914,0.004354729782789946,0.17059804499149323,1.9920262098312378
1600,0.00953231193125248,0.16245757043361664,0.00010937726619886234,0.00359984184615314,0.012250659987330437,0.16836170852184296,1.9878623485565186
1650,0.001627755002118647,0.05788403004407883,1.1199080290680286e-05,0.001732992590405047,0.002318585989996791,0.17174440622329712,1.9912341833114624
1700,0.005877827759832144,0.07223125547170639,0.00017825602844823152,0.0023557234089821577,0.008382700383663177,0.16687077283859253,1.988634705543518
1750,0.0021552792750298977,0.0842047855257988,8.270922080555465e-07,0.0022037304006516933,0.003005597973242402,0.1666274219751358,1.990423560142517
1800,0.00450969859957695,0.05585944652557373,5.0210855988552794e-05,0.001392912119626999,0.0055704014375805855,0.16991378366947174,1.9817554950714111
1850,0.009048963896930218,0.09021963179111481,7.29669991414994e-05,0.0026180397253483534,0.010680830106139183,0.1704978346824646,1.9834645986557007
1900,0.0036981794983148575,0.07926265895366669,1.7439122530049644e-05,0.0018975830171257257,0.004665197338908911,0.1695442646741867,1.9920051097869873
1950,0.005358589813113213,0.08738329261541367,5.105983291286975e-05,0.002824420342221856,0.006743021309375763,0.16852521896362305,1.990224003791809
2000,0.005617518909275532,0.07920677959918976,4.12070112361107e-05,0.0015952005051076412,0.0068216570653021336,0.1706092804670334,1.990395426750183
2050,0.003673854749649763,0.09654679149389267,3.3064181479858235e-05,0.001749483635649085,0.004969964735209942,0.1614960879087448,1.9947667121887207
2100,0.002820776542648673,0.06671340763568878,5.9237390814814717e-05,0.002179265022277832,0.004080284386873245,0.16513454914093018,1.996199607849121
2150,0.002154585672542453,0.09466862678527832,2.6505365894990973e-05,0.0015303316758945584,0.0033663257490843534,0.1687059998512268,1.9959015846252441
2200,0.005383661482483149,0.19688130915164948,4.441710916580632e-05,0.005877165123820305,0.007796645630151033,0.17044991254806519,1.997032642364502
2250,0.0031790267676115036,0.08747275173664093,9.33554292714689e-06,0.001027083257213235,0.00414710957556963,0.16546711325645447,1.9958192110061646
2300,0.004186223726719618,0.0495559424161911,5.578720447374508e-06,0.001972048543393612,0.00473757041618228,0.16772842407226562,1.9929523468017578
2350,0.0029305354692041874,0.0480482392013073,5.150280776433647e-05,0.00337782921269536,0.003926045726984739,0.1673310399055481,1.998314380645752
2400,0.0027572743128985167,0.051204614341259,4.0240985981654376e-05,0.0023920396342873573,0.0036717301700264215,0.16385138034820557,1.9929991960525513
2450,0.005935130640864372,0.06181363761425018,0.00010535251203691587,0.004533275496214628,0.007606792263686657,0.1719062328338623,1.9895166158676147
2500,0.005704798270016909,0.100087471306324,2.4347643829969456e-06,0.00236883875913918,0.006730020511895418,0.17159932851791382,1.98354172706604
2550,0.004057052079588175,0.11696116626262665,2.918370591942221e-05,0.0022752773948013783,0.005518500693142414,0.1688992828130722,1.9777599573135376
2600,0.0022433341946452856,0.06525033712387085,1.7081885744119063e-05,0.0008805657853372395,0.0030666564125567675,0.1638445109128952,1.9848859310150146
2650,0.009672191925346851,0.11513952910900116,0.00025161507073789835,0.0019401309546083212,0.013339737430214882,0.1704995036125183,1.9825448989868164
2700,0.007766301743686199,0.10858774930238724,4.906887625111267e-05,0.005733903963118792,0.009342867881059647,0.17491397261619568,1.988051176071167
2750,0.007298293057829142,0.04506584256887436,0.00010887719690799713,0.002547477139160037,0.008837724104523659,0.16828835010528564,1.9975826740264893
2800,0.004151674918830395,0.07049688696861267,0.00012798019452020526,0.0011504219146445394,0.006136445794254541,0.16703224182128906,2.002336263656616
2850,0.0033797856885939837,0.060458485037088394,9.16473254619632e-06,0.0030445242300629616,0.004076017532497644,0.1685643345117569,2.0010392665863037
2900,0.0046507385559380054,0.06361384689807892,6.970201866351999e-06,0.0005369842401705682,0.005356579087674618,0.16822023689746857,1.9774457216262817
2950,0.004351465497165918,0.030153920873999596,3.887376806233078e-05,0.0016143749235197902,0.005041742697358131,0.1640091836452484,1.980717658996582
3000,0.003498051082715392,0.034925512969493866,2.6393212465336546e-05,0.0012196637690067291,0.004111238289624453,0.16535238921642303,2.0011181831359863
3050,0.0028217958752065897,0.03502526134252548,6.818533165642293e-06,0.0009498221916146576,0.00324023375287652,0.16797763109207153,1.9995133876800537
3100,0.004402618855237961,0.042541034519672394,3.766346344491467e-05,0.0005762529326602817,0.0052046640776097775,0.16735458374023438,1.9886356592178345
3150,0.005592851899564266,0.03640412911772728,4.967590712112724e-07,0.0010740368161350489,0.005961860995739698,0.16715463995933533,1.9830312728881836
3200,0.0011613501701503992,0.035699356347322464,3.4172942832810804e-05,0.0008367892005480826,0.0018600730691105127,0.16893412172794342,1.978204369544983
3250,0.004527818877249956,0.039345696568489075,2.2368431018549018e-05,0.0006211221916601062,0.005144959781318903,0.16839291155338287,1.9787667989730835
3300,0.0026544523425400257,0.03393976390361786,1.3936323739471845e-05,0.0013353214599192142,0.0031332133803516626,0.16692018508911133,1.9671732187271118
3350,0.0031398858409374952,0.0295230932533741,7.1426979957323056e-06,0.001168863265775144,0.0035065438132733107,0.16762271523475647,1.967098355293274
3400,0.002010481432080269,0.023156020790338516,1.3918209333496634e-05,0.0011214925907552242,0.002381223952397704,0.16773675382137299,1.9672901630401611
