trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lambda_bc,lr,scheduler_gamma,scheduler_step
268,complete,1.8575082094685058e-06,112,9,52.43975745029413,56.62196622169912,13.604869807065874,0.004009996271406973,0.308369844190366,3000
270,complete,1.3079992413622676e-06,112,9,40.4403706652445,51.3819540620736,12.57663005592867,0.0036958895171623307,0.3118246327563615,3000
273,complete,4.959320449415827e-06,112,9,41.39083382508051,48.009559460335176,12.19323689558748,0.0040053375418544505,0.3142517618033881,3000
274,complete,3.3397163861081935e-06,112,9,42.789292360426224,50.47427546003688,11.629358717948836,0.0043456266137806634,0.3109230972940541,3000
286,complete,7.6071069088357035e-06,112,9,63.313430483810855,49.20715220507847,10.130702009788779,0.0043104700140980945,0.30915898600754543,3000
288,complete,6.448155090765795e-06,112,9,57.38823457656712,56.52882025969304,16.395343902352284,0.005233031868291003,0.352408857642089,3000
290,complete,1.4110465826888685e-06,112,9,52.186552581275336,56.64584093402124,12.972672158860018,0.0039437096026847165,0.30066534264270917,3000
292,complete,2.6594766495691147e-06,112,9,78.28079955965268,59.96074042101642,12.931392393882842,0.004271909075248717,0.30161853339320316,3000
297,complete,1.8809100765793119e-06,112,9,92.85578300958348,52.30984841076467,11.067928173123699,0.003882946041757524,0.3298032230624631,3000
303,complete,8.324836926476564e-06,112,9,50.43814766088993,58.16273151490012,10.003212365204705,0.0035645251543478065,0.3153146314077151,3000
305,complete,5.6969747674884275e-06,112,9,59.530690654429435,49.98953076968006,13.339817210687695,0.0034229629605088616,0.32331583578341344,3000
323,complete,1.2257570460860734e-06,112,9,44.0902555071218,54.34638122867989,11.034505425443983,0.0031269331651170057,0.6257704652960424,3000
325,complete,1.8003777313424507e-06,112,9,41.147113691087185,78.58553045241355,11.281878393063616,0.00323536873189424,0.6335773065165846,3000
328,complete,2.0360698727017734e-06,112,9,32.66533894226336,64.45484534617151,10.01044851954062,0.003040523833419359,0.6325327672483404,3000
338,complete,2.484481456122012e-06,112,9,44.96098690309924,46.917377875940424,12.812371135987217,0.003711556747505729,0.6177206751238046,3000
353,complete,2.7904645776288817e-06,96,9,35.99131420509845,12.959746965469273,11.71478031872683,0.004068405137164411,0.599172957915333,3000
357,complete,5.131959369464312e-06,96,9,31.045278039327336,12.911843679790094,12.165785942415281,0.0037314416639462568,0.561261754970408,3000
372,complete,1.155527002083545e-06,112,9,63.0515038231751,49.63564535328863,10.969503158731328,0.003147302148553494,0.6350966272728124,3000
382,complete,7.60072362027131e-06,112,9,39.458291634442006,45.864952729287786,12.584682782398264,0.003398988991707728,0.3245853579224784,3000
428,complete,2.216821258116397e-06,112,9,83.6152466878544,12.438213982489664,12.687329075953755,0.0030039894193863415,0.34490874828710893,3000
453,complete,1.6001648646124522e-06,112,9,37.7727966917964,41.31731496569835,10.053243486067487,0.0027834745013654,0.3224734335329815,3000
