number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_bc,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
10,1.0044309419754427e-05,2026-05-21 11:48:18.156426,2026-05-21 11:49:28.775381,0 days 00:01:10.618955,128,10.693848217322548,10.862348973937136,0.8376886561830927,0.006536264082965736,5,0.8794799491387799,4000,COMPLETE
11,0.042677734047174454,2026-05-21 11:49:28.795825,2026-05-21 11:49:30.659412,0 days 00:00:01.863587,128,11.143703573863464,10.82361411997916,0.9351043878935157,0.009799148997591331,5,0.8954088537173488,4000,PRUNED
12,7.697361070313491e-06,2026-05-21 11:49:30.665631,2026-05-21 11:50:27.445360,0 days 00:00:56.779729,128,13.241669967698948,10.307046699326312,0.6323728543271067,0.003816555624863523,5,0.8981434764965095,4000,COMPLETE
13,0.04643021896481514,2026-05-21 11:50:27.466419,2026-05-21 11:50:27.904761,0 days 00:00:00.438342,128,21.99924604277401,10.46192231200569,1.1131196980422622,0.0024920099734550907,4,0.899617463184931,4000,PRUNED
14,2.9739339879597537e-05,2026-05-21 11:50:27.913637,2026-05-21 11:51:28.211164,0 days 00:01:00.297527,112,10.623818229569274,20.847875104970978,3.833125412072728,0.003415962026347907,2,0.8196248311799663,4000,COMPLETE
15,0.0011595783289521933,2026-05-21 11:51:28.224609,2026-05-21 11:52:03.051082,0 days 00:00:34.826473,112,80.28836717487805,23.381243173685355,4.74674333352544,0.0007098701732564443,7,0.8388221878150853,4000,PRUNED
16,0.0006639359635300934,2026-05-21 11:52:03.059686,2026-05-21 11:52:25.335638,0 days 00:00:22.275952,96,27.057474299173993,18.054044508234703,0.5615737515371337,0.0011620886290676312,4,0.7337549054131404,5000,PRUNED
17,0.04480143263936043,2026-05-21 11:52:25.344443,2026-05-21 11:52:25.832517,0 days 00:00:00.488074,112,46.405688474924084,59.05378544436719,1.8612126049170625,0.004317189896000737,5,0.6070769340052233,3000,PRUNED
18,1.1999456546618603e-05,2026-05-21 11:52:25.840650,2026-05-21 11:54:02.919223,0 days 00:01:37.078573,128,17.202040946024173,16.06467226235805,6.80068534410898,0.0010316978220772084,7,0.8514517294418006,4000,COMPLETE
19,0.042153190821409225,2026-05-21 11:54:02.936660,2026-05-21 11:54:03.417402,0 days 00:00:00.480742,96,119.03377837121609,38.461548018410234,0.7369890086999303,0.0016872643600218905,5,0.7750147626834551,2000,PRUNED
20,0.04658462479710579,2026-05-21 11:54:03.426309,2026-05-21 11:54:03.849321,0 days 00:00:00.423012,96,16.482245700541593,71.52748127366256,0.3530038107237249,0.005469421230895381,4,0.5677932050700218,5000,PRUNED
21,0.016846654936671257,2026-05-21 11:54:03.858584,2026-05-21 11:54:10.119406,0 days 00:00:06.260822,128,16.416898288769165,14.78401181672076,8.777596619093174,0.0005250080181414081,7,0.8498651408907194,4000,PRUNED
22,1.2812475688406266e-05,2026-05-21 11:54:10.126577,2026-05-21 11:55:46.816258,0 days 00:01:36.689681,128,10.541131396136858,24.54976370143815,1.7207068494009488,0.0012721545299008668,7,0.8676482694280258,4000,COMPLETE
23,3.074248752454878e-06,2026-05-21 11:55:46.831423,2026-05-21 11:56:36.374568,0 days 00:00:49.543145,112,24.69820953175382,12.750504934092145,7.619668230055787,0.003085459945127017,8,0.8200597683922285,3000,COMPLETE
24,0.041646864265203476,2026-05-21 11:56:36.393535,2026-05-21 11:56:36.900779,0 days 00:00:00.507244,112,28.368855194650692,10.601605312671255,30.230480168189775,0.0033799984843105907,5,0.7993769418449495,3000,PRUNED
25,0.04461320489645004,2026-05-21 11:56:36.908252,2026-05-21 11:56:37.596833,0 days 00:00:00.688581,112,48.12186267230618,26.032453602009653,3.0062170141071194,0.0064646304204095855,8,0.8947494367894527,3000,PRUNED
26,4.699705641542096e-06,2026-05-21 11:56:37.603997,2026-05-21 11:57:14.560491,0 days 00:00:36.956494,96,26.669363725876075,14.14780261549302,31.976631751334157,0.0028314431532339202,8,0.7108164612664329,3000,COMPLETE
27,0.03869883716106415,2026-05-21 11:57:14.582072,2026-05-21 11:57:15.242002,0 days 00:00:00.659930,96,90.37621751411423,32.632571017433996,25.08044371838739,0.0029037769332119715,8,0.7387384523013908,2000,PRUNED
28,0.050880566239356995,2026-05-21 11:57:15.249148,2026-05-21 11:57:15.914283,0 days 00:00:00.665135,80,63.130806867937366,14.54880537166124,46.43229555342906,0.001830233868153063,9,0.6832908907981781,3000,PRUNED
29,0.04260663688182831,2026-05-21 11:57:15.922272,2026-05-21 11:57:16.686872,0 days 00:00:00.764600,96,22.627591534039265,146.61672597942706,15.519214532488812,0.004317544486323959,10,0.6095291941274159,3000,PRUNED
30,0.04367309436202049,2026-05-21 11:57:16.693989,2026-05-21 11:57:17.252866,0 days 00:00:00.558877,64,32.16983634381946,53.24086776404977,8.645160840205424,0.0015431830978904263,8,0.32564710804778496,2000,PRUNED
31,0.04676761105656624,2026-05-21 11:57:17.260540,2026-05-21 11:57:17.828873,0 days 00:00:00.568333,112,14.422851584410502,12.545253442641274,0.2418596326175694,0.004453760105765133,6,0.81055265119662,3000,PRUNED
32,0.03863116353750229,2026-05-21 11:57:17.835631,2026-05-21 11:57:18.629161,0 days 00:00:00.793530,128,20.990952956431478,18.634601265694354,33.07618166469948,0.0064830391538865766,9,0.764659167603971,5000,PRUNED
33,0.039596203714609146,2026-05-21 11:57:18.636567,2026-05-21 11:57:19.208811,0 days 00:00:00.572244,112,12.239912546090427,13.35442909796781,1.4715194330353785,0.008148263847917704,6,0.8524029189064192,4000,PRUNED
34,0.039506979286670685,2026-05-21 11:57:19.215407,2026-05-21 11:57:19.876332,0 days 00:00:00.660925,128,19.353101151637976,28.467430890669032,2.491400555870559,0.0022482050260039968,7,0.39181078618058823,4000,PRUNED
35,0.048220884054899216,2026-05-21 11:57:19.882921,2026-05-21 11:57:20.338661,0 days 00:00:00.455740,80,278.3486681688596,10.20061500697335,0.6298229756731607,0.00327053176545004,5,0.6917606852800026,3000,PRUNED
36,0.020256584510207176,2026-05-21 11:57:20.346771,2026-05-21 11:57:24.264314,0 days 00:00:03.917543,112,34.88450223847446,18.569438660080483,54.711359973847095,0.0008063936010229794,8,0.7275523831633177,4000,PRUNED
37,0.04953388869762421,2026-05-21 11:57:24.271493,2026-05-21 11:57:24.700966,0 days 00:00:00.429473,96,25.308070695191496,98.65161300691507,18.858634545473446,0.0047900524313294595,4,0.6451494426085733,3000,PRUNED
38,0.04017619043588638,2026-05-21 11:57:24.707851,2026-05-21 11:57:25.573128,0 days 00:00:00.865277,128,13.649445282940047,13.834452285571047,5.56763317021332,0.00010123622038071508,10,0.8768397654569147,5000,PRUNED
39,0.04972399026155472,2026-05-21 11:57:25.580213,2026-05-21 11:57:25.967084,0 days 00:00:00.386871,112,911.3612161016358,35.77896291846128,0.1819715953657623,0.007378961664600424,3,0.8274662291980616,3000,PRUNED
40,0.004781913477927446,2026-05-21 11:57:25.974493,2026-05-21 11:57:29.625301,0 days 00:00:03.650808,64,39.94425366289906,699.0117399255654,99.46361135502175,0.0027113092998277996,6,0.7928132981873686,2000,PRUNED
41,0.018408330157399178,2026-05-21 11:57:29.633049,2026-05-21 11:57:33.206505,0 days 00:00:03.573456,128,16.81282174963641,16.651666062999567,6.813875423637894,0.00025217292117284774,7,0.8411109456945528,4000,PRUNED
42,0.0049589029513299465,2026-05-21 11:57:33.213041,2026-05-21 11:57:40.072788,0 days 00:00:06.859747,128,10.046596044477521,12.660203868753966,0.4631353951245436,0.002097500190495109,8,0.8763246198983996,4000,PRUNED
43,0.04015360772609711,2026-05-21 11:57:40.080526,2026-05-21 11:57:40.885315,0 days 00:00:00.804789,128,18.5981686870277,16.105274561023005,10.55080853488878,0.00035127703082863635,9,0.7619897595976355,3000,PRUNED
44,0.06975027918815613,2026-05-21 11:57:40.892294,2026-05-21 11:57:41.313125,0 days 00:00:00.420831,32,13.053249889868898,236.5306199367889,0.9294986785225791,0.003870457191044356,7,0.8635618277305557,4000,PRUNED
45,0.04761762171983719,2026-05-21 11:57:41.320322,2026-05-21 11:57:42.009590,0 days 00:00:00.689268,112,24.329853926508147,12.177731964617294,3.3589061644615983,0.0053339703959817495,8,0.7868178484548406,5000,PRUNED
46,0.045252226293087006,2026-05-21 11:57:42.016171,2026-05-21 11:57:42.615989,0 days 00:00:00.599818,128,175.43889177439934,21.66690334916463,1.1621372888313328,0.0013199964280210868,6,0.8219161672517836,4000,PRUNED
47,0.039852842688560486,2026-05-21 11:57:42.623131,2026-05-21 11:57:43.133900,0 days 00:00:00.510769,112,58.721997420028735,20.567446201600927,19.124189432649768,0.0005500202369916557,5,0.8968688170494244,4000,PRUNED
48,0.019791699945926666,2026-05-21 11:57:43.142806,2026-05-21 11:57:46.700127,0 days 00:00:03.557321,128,14.924173874770018,10.192926223235613,4.420308933412833,0.0008268993902694749,7,0.8355498096593084,3000,PRUNED
49,0.049364302307367325,2026-05-21 11:57:46.706438,2026-05-21 11:57:47.188401,0 days 00:00:00.481963,96,31.41070758187414,16.264555116261295,0.315794973037767,0.007629079805032543,5,0.5428546957330155,4000,PRUNED
50,8.040332431846764e-06,2026-05-21 11:57:47.195168,2026-05-21 11:58:49.577654,0 days 00:01:02.382486,112,19.205441206668695,31.837850053652627,6.395254133055183,0.0025772355832470724,9,0.7101445331755786,3000,COMPLETE
51,0.0493471585214138,2026-05-21 11:58:49.593149,2026-05-21 11:58:50.349987,0 days 00:00:00.756838,112,18.744773801875766,31.081902807027912,7.224755121292757,0.0027611873644717857,9,0.6384798080500407,2000,PRUNED
52,3.889889285346726e-06,2026-05-21 11:58:50.358721,2026-05-21 11:59:55.696463,0 days 00:01:05.337742,128,11.40891817232461,12.176310348029947,11.028910410388159,0.0020310062795988537,9,0.7514664068467158,3000,COMPLETE
53,0.04580940678715706,2026-05-21 11:59:55.710800,2026-05-21 11:59:56.529521,0 days 00:00:00.818721,112,11.700758639360037,12.033409891337396,2.456634920944426,0.0019420222042292289,10,0.7123241468945181,3000,PRUNED
54,3.134926828352036e-06,2026-05-21 11:59:56.537162,2026-05-21 12:00:45.866304,0 days 00:00:49.329142,128,12.322345148681556,22.076012623546447,12.18074616268207,0.00235140706748695,9,0.6681120501484472,3000,COMPLETE
55,5.150113793206401e-06,2026-05-21 12:00:45.881134,2026-05-21 12:01:52.961721,0 days 00:01:07.080587,128,13.03748922829486,44.64632055604506,11.538323536233266,0.0024026152463569833,9,0.6823230266940956,3000,COMPLETE
56,0.05030492693185806,2026-05-21 12:01:52.977373,2026-05-21 12:01:53.796655,0 days 00:00:00.819282,128,12.842012996890022,41.59769610221548,11.008917363743938,0.003598409572118583,9,0.7449316617198171,2000,PRUNED
57,0.048388537019491196,2026-05-21 12:01:53.803592,2026-05-21 12:01:54.672460,0 days 00:00:00.868868,128,14.334695148127889,83.47209618289908,20.709654624403417,0.0015736465993360647,10,0.6783833067230413,3000,PRUNED
58,0.04066970571875572,2026-05-21 12:01:54.678895,2026-05-21 12:01:55.477504,0 days 00:00:00.798609,128,22.130859800966785,23.165398738043752,12.170476546904007,0.0031639529406081537,9,0.6561497955118741,3000,PRUNED
59,3.148247060380527e-06,2026-05-21 12:01:55.485343,2026-05-21 12:02:36.166760,0 days 00:00:40.681417,112,10.04328070412732,50.2481566183604,40.68330419068474,0.002362903869558022,8,0.5879407291712627,2000,COMPLETE
60,0.03560725226998329,2026-05-21 12:02:36.176268,2026-05-21 12:02:36.839316,0 days 00:00:00.663048,96,10.080398193237858,46.103917765828236,49.06985596816082,0.002219165749486726,8,0.575380657276028,1000,PRUNED
61,3.5972886962554185e-06,2026-05-21 12:02:36.847208,2026-05-21 12:03:18.612820,0 days 00:00:41.765612,112,11.649975430762565,52.04720690660635,34.16417742371072,0.0024532898397275444,9,0.6277274966455269,1000,COMPLETE
62,0.03918357938528061,2026-05-21 12:03:18.627711,2026-05-21 12:03:19.395507,0 days 00:00:00.767796,112,11.957245045462784,61.39181466165362,32.63645630685336,0.0013767981975423508,9,0.6226700047857102,1000,PRUNED
63,0.04293094202876091,2026-05-21 12:03:19.403899,2026-05-21 12:03:20.058315,0 days 00:00:00.654416,96,15.413639149295408,50.01918705410777,60.372205561755614,0.002365755189510347,8,0.5718841536639327,1000,PRUNED
64,0.05112382397055626,2026-05-21 12:03:20.067589,2026-05-21 12:03:20.886912,0 days 00:00:00.819323,112,15.802526951635345,131.66252256647905,39.285050236352006,0.0018347943368431277,10,0.49515996130331663,2000,PRUNED
65,0.04518313333392143,2026-05-21 12:03:20.896378,2026-05-21 12:03:21.651399,0 days 00:00:00.755021,112,27.518412592856112,77.27156973961554,25.451035524576728,0.0029332704528401677,9,0.5904110680083577,1000,PRUNED
66,0.04114329442381859,2026-05-21 12:03:21.661194,2026-05-21 12:03:22.292380,0 days 00:00:00.631186,80,11.464396710639948,69.9255514171682,15.19168482140275,0.001062386380883051,8,0.6261090822102178,2000,PRUNED
67,0.050109125673770905,2026-05-21 12:03:22.300432,2026-05-21 12:03:23.104123,0 days 00:00:00.803691,128,10.17562839900701,26.87741064815447,23.742183723954586,0.001663765594040424,9,0.6649362301004776,2000,PRUNED
68,0.05278725177049637,2026-05-21 12:03:23.111023,2026-05-21 12:03:23.572483,0 days 00:00:00.461460,32,12.763913750223868,38.339370056241535,9.045405718778488,0.0037707901756176645,8,0.6959679854349865,3000,PRUNED
69,0.05061482638120651,2026-05-21 12:03:23.579983,2026-05-21 12:03:24.340457,0 days 00:00:00.760474,96,37.865399878845665,93.1858958352119,40.244683012249396,0.002440310647127309,10,0.5515414046994731,3000,PRUNED
70,0.04564590007066727,2026-05-21 12:03:24.347535,2026-05-21 12:03:25.037424,0 days 00:00:00.689889,112,540.0704927893922,62.59068734509802,13.906388650580451,0.0020351530931684517,8,0.4468071152095112,2000,PRUNED
71,0.03799763321876526,2026-05-21 12:03:25.044695,2026-05-21 12:03:25.846675,0 days 00:00:00.801980,128,16.69491104258221,54.18646840095137,28.333660349297396,0.003973738630621691,9,0.7176541388313347,3000,PRUNED
72,0.03741055354475975,2026-05-21 12:03:25.853743,2026-05-21 12:03:26.719015,0 days 00:00:00.865272,128,11.55759792950369,14.171305804051707,67.51804954690977,0.0051926041014346055,10,0.6746538172530384,3000,PRUNED
73,0.034955840557813644,2026-05-21 12:03:26.725990,2026-05-21 12:03:27.528334,0 days 00:00:00.802344,128,13.362903764872508,20.318702611129773,18.052750641055066,0.0030684172185300924,9,0.6482911486226657,3000,PRUNED
74,0.036017585545778275,2026-05-21 12:03:27.535735,2026-05-21 12:03:28.268801,0 days 00:00:00.733066,128,21.31819593768393,11.481973403403718,5.220383669796194,0.0025112903369307288,8,0.598741964071557,3000,PRUNED
75,5.3314211072574835e-06,2026-05-21 12:03:28.275708,2026-05-21 12:04:09.767196,0 days 00:00:41.491488,96,14.559368392428707,116.45759852662701,39.30392035497126,0.0034362313148278874,8,0.7545655159083631,1000,COMPLETE
76,0.05886809900403023,2026-05-21 12:04:09.779148,2026-05-21 12:04:10.432114,0 days 00:00:00.652966,96,14.573877173796154,258.2784918729364,78.44329077411645,0.0014557166651505654,8,0.7660803310952469,1000,PRUNED
77,0.0343189500272274,2026-05-21 12:04:10.439016,2026-05-21 12:04:11.004225,0 days 00:00:00.565209,80,17.966121858264778,123.31609263303497,42.243659797337116,0.0033597260928862403,7,0.739169184885977,1000,PRUNED
78,0.0436190664768219,2026-05-21 12:04:11.012485,2026-05-21 12:04:11.684558,0 days 00:00:00.672073,80,23.736730952307834,207.45702889140557,22.224161183298047,0.0017538691798191816,9,0.7513159123852733,1000,PRUNED
79,0.0480891615152359,2026-05-21 12:04:11.692134,2026-05-21 12:04:12.350159,0 days 00:00:00.658025,96,11.336949450114634,173.36087198986814,32.60037405455043,0.004367267047216592,8,0.7859233496504988,1000,PRUNED
80,0.05821893364191055,2026-05-21 12:04:12.358451,2026-05-21 12:04:13.109951,0 days 00:00:00.751500,112,117.81075087312088,123.50903137086354,10.042241176005984,0.0011966151621595,9,0.6941939854021932,2000,PRUNED
81,1.469245262342156e-06,2026-05-21 12:04:13.117631,2026-05-21 12:04:59.445495,0 days 00:00:46.327864,112,13.544108523492783,15.018548173544536,12.656602904470503,0.002767755054848155,7,0.6213139655526541,3000,COMPLETE
82,1.618483679521887e-06,2026-05-21 12:04:59.462723,2026-05-21 12:05:43.580005,0 days 00:00:44.117282,112,15.744953630246982,18.864337370730695,16.99922191300319,0.00282364861662522,7,0.6248812205677994,3000,COMPLETE
83,0.036735210567712784,2026-05-21 12:05:43.596004,2026-05-21 12:05:44.236273,0 days 00:00:00.640269,112,46.32574805412912,17.50786655362714,15.82956362483566,0.0021375379385515274,7,0.633621447681936,3000,PRUNED
84,0.05435933172702789,2026-05-21 12:05:44.243274,2026-05-21 12:05:44.878278,0 days 00:00:00.635004,112,17.41949740650644,14.97217538395604,12.621377893224173,0.0028205578640284595,7,0.6174306181116491,3000,PRUNED
85,0.007681617513298988,2026-05-21 12:05:44.885434,2026-05-21 12:05:47.865254,0 days 00:00:02.979820,112,20.175964589858093,18.905547305942044,7.785185866517533,0.002358408029555796,7,0.5921472950816719,3000,PRUNED
86,0.04369315877556801,2026-05-21 12:05:47.875236,2026-05-21 12:05:48.567939,0 days 00:00:00.692703,112,13.161013206513198,23.453825811502224,17.177788604800693,0.0020174566912744955,8,0.6659555566969092,3000,PRUNED
87,0.039345212280750275,2026-05-21 12:05:48.577522,2026-05-21 12:05:49.347169,0 days 00:00:00.769647,112,10.059695898065401,28.86818072508222,27.60998155684612,0.002540284186658361,9,0.5518574488574675,3000,PRUNED
88,0.043231356889009476,2026-05-21 12:05:49.356157,2026-05-21 12:05:50.025414,0 days 00:00:00.669257,128,28.728802010956606,13.407252099728012,11.564278727231205,0.0029866280665408517,7,0.6063470903702846,3000,PRUNED
89,0.043507736176252365,2026-05-21 12:05:50.034206,2026-05-21 12:05:50.610197,0 days 00:00:00.575991,112,15.437401815020658,35.12222422077612,9.169550091653903,0.00484920685056418,6,0.516730529589345,3000,PRUNED
90,0.04077060520648956,2026-05-21 12:05:50.618208,2026-05-21 12:05:51.357345,0 days 00:00:00.739137,128,11.671852022791485,15.44345532532296,0.10005072453856699,0.004021999413213813,8,0.7251330978284007,3000,PRUNED
91,0.03206536918878555,2026-05-21 12:05:51.365974,2026-05-21 12:05:52.614031,0 days 00:00:01.248057,96,14.010360027740024,11.757082209311061,13.755053656212679,0.0034263585634534536,8,0.7008594445770776,2000,PRUNED
92,0.04024503007531166,2026-05-21 12:05:52.622056,2026-05-21 12:05:53.233352,0 days 00:00:00.611296,64,16.656442840968047,44.83735986672685,36.35867720275671,0.0027985591859021057,9,0.8075255615418055,3000,PRUNED
93,0.040983203798532486,2026-05-21 12:05:53.240508,2026-05-21 12:05:53.904557,0 days 00:00:00.664049,96,12.35973002155364,112.0744397115286,50.55627169215739,0.0018873412846729957,8,0.6542328031016781,1000,PRUNED
94,0.03673550486564636,2026-05-21 12:05:53.911703,2026-05-21 12:05:54.676529,0 days 00:00:00.764826,112,14.68373460130092,89.28260574264758,21.36479464465103,0.003226230291057761,9,0.6852606191508372,3000,PRUNED
95,0.03603391721844673,2026-05-21 12:05:54.683589,2026-05-21 12:05:55.338707,0 days 00:00:00.655118,96,10.894291327197905,19.530652514285432,6.099091761799372,0.00226155621160144,8,0.6400095756373899,3000,PRUNED
