trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
182,complete,8.482635166728869e-05,64,4,0.23627104981887764,1.1129836134579105,0.009829261118494206,0.4767077822872878,3000
183,complete,0.0004582813417073339,64,4,0.15762052573294189,1.1115049331202382,0.009583577474846307,0.509516075028517,3000
186,complete,0.00021770081366412342,64,4,0.18408218928105977,1.1010228125761368,0.008441593614038439,0.3814311885652539,3000
190,complete,6.096837023505941e-05,64,4,0.2598450090948472,1.171734775448941,0.007039324599843272,0.4756340621500909,3000
192,complete,8.343385707121342e-05,64,4,0.21641904587303065,1.2647752502325555,0.007748702852046486,0.49022038663971296,3000
204,complete,0.00021277106134220958,64,4,0.20269205707784285,1.0982309376411703,0.007762781113399051,0.45320716901886066,5000
209,complete,9.644543752074242e-05,64,4,0.27216141728008486,1.538439149305132,0.007539300838851316,0.541896961748447,3000
211,complete,0.00017584513989277184,64,4,0.2883965268616977,1.384495203381913,0.008637296538302884,0.529961210643719,3000
212,complete,0.00012975241406820714,64,4,0.25489317402964135,1.2312525479849123,0.007897654046295317,0.5547024943201393,3000
216,complete,0.00016167595458682626,64,4,0.20268203648469135,1.2625137919427931,0.007653772440291223,0.4628721437370262,5000
222,complete,0.00030502935987897217,64,4,0.23353595348416695,1.5722209817545696,0.008403583766722204,0.4638913238477664,3000
225,complete,0.00017354919691570103,64,4,0.25259525149132883,2.013348597663915,0.00914038771550469,0.5011183313521793,3000
269,complete,3.4710541513049975e-05,64,4,0.3014754369031972,2.050797284034048,0.008141175872802262,0.4466377687880353,5000
280,complete,9.382951975567266e-05,64,4,0.22185309296309907,1.3009818359040617,0.009197613272478629,0.5758157090433201,3000
287,complete,0.00019990980217698961,64,4,0.22574809992634026,1.377075329138129,0.007350850531367458,0.5129472963764705,3000
292,complete,0.00019396614516153932,64,4,0.3334297143077769,2.0528340856112903,0.008593941571941608,0.6952695905378249,5000
299,complete,0.00014706874208059162,64,4,0.21415665790873603,1.1237182493517328,0.00802013995239345,0.6738958261360621,3000
321,complete,0.00011014151823474094,64,4,0.3220082846466122,2.5399779135316973,0.009260527307816766,0.4926628861139414,5000
331,complete,0.00013201915135141462,64,4,0.1912905624692286,1.0052982067010154,0.008167153593469416,0.814318726552774,3000
336,complete,0.0004143349069636315,64,4,0.2077906058934645,1.1775388130183426,0.0087686228968589,0.4660924303077152,5000
381,complete,0.0002017875376623124,64,4,0.1930555522985292,1.2280399748962443,0.00864025712175346,0.5141263348473711,5000
392,complete,0.00022021910990588367,64,4,0.23950403173292564,2.4789291009217753,0.00943724030588386,0.5991408112865939,4000
422,complete,0.00019440826145000756,64,4,0.1581780491820991,1.0039121380227902,0.009206650351058413,0.4510529108678849,2000
434,complete,0.00036493269726634026,64,6,0.21713245222989344,1.403458284121967,0.009809164854768395,0.4626517740380092,3000
507,complete,4.7852594434516504e-05,64,5,0.3405685756246826,1.1345167248871162,0.009935742100561574,0.45587493658965156,3000
523,complete,0.0001465340901631862,48,6,0.3372556467710956,1.1034091119075522,0.008348876466367018,0.8551489175875678,2000
567,complete,8.271483238786459e-05,64,5,0.2728357812607288,1.1794456622011764,0.008396427651975619,0.5670818423224454,3000
569,complete,7.551043381681666e-05,64,5,0.24910415121992838,1.3351189987804002,0.006948248903751404,0.5730891423806487,1000
578,complete,0.00011219320731470361,64,4,0.16045803467035022,1.174516241822108,0.008465794398585826,0.5504373147377825,1000
636,complete,9.607309038983658e-05,64,4,0.2754461393635055,1.6721563787723472,0.00826024011549512,0.5482736422800887,3000
763,complete,0.0002187767531722784,64,4,0.26796703388050336,1.1969700547010949,0.007218877639955047,0.46701297050330787,3000
790,complete,5.096614404465072e-05,48,4,0.1910236194649656,1.1007930235614043,0.009228687771218057,0.36609260350483397,3000
792,complete,0.0002807928540278226,64,4,0.1829220782243547,1.0765044154024328,0.009027618690747297,0.39800500210249073,3000
808,complete,0.0002016730431932956,64,4,0.21056668209235344,1.3515399158548298,0.008733482624653371,0.45466208682429865,5000
835,complete,0.00037254064227454364,64,4,0.1656796464630738,1.0983979896718592,0.008594578701771242,0.8684727699031501,3000
845,complete,0.0003647293779067695,64,4,0.2086620526555806,1.2652243287163043,0.009170361290797424,0.4511003065181784,3000
857,complete,0.00015591167903039604,64,4,0.2921843433312915,1.8762017642179853,0.00807471481940066,0.5182854326580175,3000
882,complete,0.0003722959663718939,64,6,0.30998601899728134,1.8492364010640767,0.009228660278536978,0.49588809582765647,3000
930,complete,0.00026735186111181974,64,4,0.1484919703315632,1.0867211106312282,0.009194832172334164,0.43762606328721904,5000
954,complete,0.0003681736998260021,64,4,0.18922257066310744,1.1677573693008485,0.009256571087505291,0.34568929998000864,3000
970,complete,0.0001638614194234833,64,6,0.3365445390817914,1.3832797675681194,0.008568304536082013,0.5195445440712172,3000
