number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
11,0.0004187839513178915,2026-05-19 09:33:45.357358,2026-05-19 09:34:01.878644,0 days 00:00:16.521286,128,1.078313102013456,0.12775215110810637,0.007791470666172783,5,0.7895912314730211,1000,COMPLETE
12,5.1085295126540586e-05,2026-05-19 09:34:01.891059,2026-05-19 09:34:21.271581,0 days 00:00:19.380522,96,2.7271383314841704,0.5748594743060444,0.0019837097847729287,4,0.7366591367648677,2000,COMPLETE
13,0.04596683755517006,2026-05-19 09:34:21.289720,2026-05-19 09:34:22.391942,0 days 00:00:01.102222,64,3.8658624048676105,3.2613252154968766,0.0016268364153268163,4,0.7105462657794878,2000,PRUNED
14,0.1345161348581314,2026-05-19 09:34:22.398232,2026-05-19 09:34:22.584203,0 days 00:00:00.185971,96,2.6682595667833473,0.07876532796619967,0.0017311542042698074,3,0.5573911783081793,2000,PRUNED
15,2.9614111554110423e-05,2026-05-19 09:34:22.591608,2026-05-19 09:34:40.209768,0 days 00:00:17.618160,64,2.070551589646306,0.26563870172817117,0.0036469675188758413,4,0.5480484598156278,4000,COMPLETE
16,7.406856457237154e-05,2026-05-19 09:34:40.226526,2026-05-19 09:34:58.185837,0 days 00:00:17.959311,96,5.887056496896424,0.2866629615019467,0.002912348358732718,4,0.5491398822456548,4000,COMPLETE
17,0.16339971125125885,2026-05-19 09:34:58.194922,2026-05-19 09:34:58.479521,0 days 00:00:00.284599,64,44.96448242471307,2.3380683055827656,0.0012917877394837088,5,0.7088786169466812,2000,PRUNED
18,0.00039230799302458763,2026-05-19 09:34:58.486496,2026-05-19 09:35:08.475650,0 days 00:00:09.989154,96,2.6623228883155368,0.04538659094636796,0.004206261328868769,5,0.5332615168718318,4000,COMPLETE
19,0.14098183810710907,2026-05-19 09:35:08.486905,2026-05-19 09:35:08.706330,0 days 00:00:00.219425,128,1.7721366292267609,0.4306398686582907,0.00030479802556930395,4,0.6397436414191029,1000,PRUNED
20,0.11566772311925888,2026-05-19 09:35:08.714101,2026-05-19 09:35:08.952351,0 days 00:00:00.238250,80,6.867749902887238,9.50577550829543,0.0011535721228312717,4,0.7455455006716137,3000,PRUNED
21,0.026048293337225914,2026-05-19 09:35:08.961727,2026-05-19 09:35:10.424908,0 days 00:00:01.463181,48,1.5748861886853698,0.1314170173310149,0.004936312712230073,3,0.3073535506761102,5000,PRUNED
22,0.14003869891166687,2026-05-19 09:35:10.431195,2026-05-19 09:35:10.606608,0 days 00:00:00.175413,48,3.921861985347169,0.19651411124637957,0.0024647667074764157,3,0.8673922115750958,4000,PRUNED
23,0.004936640150845051,2026-05-19 09:35:10.612943,2026-05-19 09:35:14.221858,0 days 00:00:03.608915,64,2.864532701881402,0.06929605504723649,0.0033635209826815317,4,0.4916727974094228,5000,PRUNED
24,9.900773875415325e-05,2026-05-19 09:35:14.229144,2026-05-19 09:35:27.474262,0 days 00:00:13.245118,48,1.5921922401091224,0.5475779669393706,0.005601486345957139,3,0.5878840636873497,4000,COMPLETE
25,0.04824376106262207,2026-05-19 09:35:27.491428,2026-05-19 09:35:28.369754,0 days 00:00:00.878326,64,5.092835838644129,1.9373646850236117,0.0019503087174328082,4,0.687091035506995,3000,PRUNED
26,0.10357902944087982,2026-05-19 09:35:28.376048,2026-05-19 09:35:28.602635,0 days 00:00:00.226587,112,1.9112604448863808,0.009179754028586304,0.003073801489351649,5,0.7914751159225341,5000,PRUNED
27,0.00012482736201491207,2026-05-19 09:35:28.608975,2026-05-19 09:35:39.508626,0 days 00:00:10.899651,80,3.2427175912637134,0.03686249772453947,0.00963572847389805,3,0.34626930171574455,2000,COMPLETE
28,0.08023438602685928,2026-05-19 09:35:39.521167,2026-05-19 09:35:39.926550,0 days 00:00:00.405383,96,1.420146193012,0.3548299217253916,0.0013558013656389926,4,0.5081584691834964,4000,PRUNED
29,0.22097255289554596,2026-05-19 09:35:39.934325,2026-05-19 09:35:40.081978,0 days 00:00:00.147653,48,14.96313832348352,1.1002719560019927,0.0009361457502574145,2,0.4186749962018174,1000,PRUNED
30,0.10764510184526443,2026-05-19 09:35:40.090101,2026-05-19 09:35:40.260602,0 days 00:00:00.170501,32,10.103990139878906,4.125027343477553,0.00702800228414301,3,0.7537211883778207,5000,PRUNED
31,0.08087626099586487,2026-05-19 09:35:40.268655,2026-05-19 09:35:40.641995,0 days 00:00:00.373340,96,6.467851364839018,0.22164328953506304,0.0030003068523006553,4,0.5797404624246708,4000,PRUNED
32,0.05112769827246666,2026-05-19 09:35:40.649114,2026-05-19 09:35:41.554693,0 days 00:00:00.905579,112,5.490348594370287,0.7049266627129404,0.0023508613313383,4,0.6295374389660007,3000,PRUNED
33,0.00024152676633093506,2026-05-19 09:35:41.561410,2026-05-19 09:35:57.606857,0 days 00:00:16.045447,96,2.5704995411795304,0.14268649615825924,0.004484512855079244,5,0.43749282802647516,4000,COMPLETE
34,0.04583950713276863,2026-05-19 09:35:57.622071,2026-05-19 09:35:58.548571,0 days 00:00:00.926500,80,3.5595046727208457,0.8399878320901333,0.0028469224284762996,4,0.5363153979505624,4000,PRUNED
35,0.00010009144898504019,2026-05-19 09:35:58.555364,2026-05-19 09:36:16.076732,0 days 00:00:17.521368,64,2.192057150741131,0.3014122042679678,0.0038444869638370343,5,0.825132250303114,2000,COMPLETE
36,0.1584709882736206,2026-05-19 09:36:16.094027,2026-05-19 09:36:16.277062,0 days 00:00:00.183035,48,1.316245689261108,0.019837523443384422,0.0017758460001768164,3,0.38166947206638224,4000,PRUNED
37,0.002186091849580407,2026-05-19 09:36:16.283373,2026-05-19 09:36:20.040196,0 days 00:00:03.756823,112,7.7109556428069,0.07503935391207481,0.005357445814628114,4,0.8989701516996023,5000,PRUNED
38,0.1537577509880066,2026-05-19 09:36:20.047795,2026-05-19 09:36:20.209257,0 days 00:00:00.161462,32,2.10404790761359,0.48205583698130877,0.0001113717572032857,2,0.6799542439474072,3000,PRUNED
39,0.10275325179100037,2026-05-19 09:36:20.216057,2026-05-19 09:36:20.483841,0 days 00:00:00.267784,80,14.067204331646964,1.484369336660729,0.0009328131472969015,5,0.46066086846245713,5000,PRUNED
40,0.13553071022033691,2026-05-19 09:36:20.490768,2026-05-19 09:36:20.674437,0 days 00:00:00.183669,96,5.2241320148260355,0.20633793361723443,0.002090320365171075,3,0.5139023970488679,3000,PRUNED
41,0.00012282807438168675,2026-05-19 09:36:20.682643,2026-05-19 09:36:37.079573,0 days 00:00:16.396930,48,1.5618748031782717,0.5529126569316912,0.006005803645911507,3,0.5933135011184025,4000,COMPLETE
42,0.07704025506973267,2026-05-19 09:36:37.095115,2026-05-19 09:36:37.391943,0 days 00:00:00.296828,48,2.179436404858671,0.3531458873778083,0.007679883610382862,2,0.5696753312087954,4000,PRUNED
43,0.1307525634765625,2026-05-19 09:36:37.398122,2026-05-19 09:36:37.606290,0 days 00:00:00.208168,32,1.2241581221588824,0.8038330997007741,0.004062643697118094,3,0.556800640994505,4000,PRUNED
