epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.0,0.0019545727409422398,0.11734788119792938,0.009638161398470402,0.13225194811820984,1.2796334028244019
100,0.0,4.4254186093439785e-08,0.14133071899414062,7.632655615452677e-05,0.1250644475221634,1.414070725440979
150,0.0,0.0014541428536176682,0.13224995136260986,0.002053997479379177,0.12530268728733063,1.350310206413269
200,0.0,1.753931722081603e-11,0.14164821803569794,0.0005834311014041305,0.12512560188770294,1.422316551208496
250,0.0,5.876335080756689e-07,0.14531530439853668,0.009552406147122383,0.1250876486301422,1.548680067062378
300,0.0,8.051394551067403e-10,0.14135338366031647,1.0092946467921138e-05,0.125122532248497,1.4136347770690918
350,0.0,3.0780724635803836e-09,0.14133363962173462,1.2050929854012793e-07,0.12511292099952698,1.4133375883102417
400,0.0,2.594550494450232e-07,0.1410599946975708,3.860298875224544e-06,0.12491825222969055,1.4106398820877075
450,0.0,7.356485754762832e-13,0.14137282967567444,2.8845657652709633e-05,0.1251540631055832,1.4140167236328125
500,0.0,5.938657226568778e-13,0.1413567215204239,1.7644073579958786e-07,0.12512771785259247,1.4135689735412598
550,0.0,3.753696572322829e-12,0.14135469496250153,2.5439217399281233e-09,0.1251262128353119,1.4135469198226929
600,0.0,1.3586538144538807e-11,0.14135117828845978,1.1404690525296246e-08,0.125123530626297,1.413511872291565
650,0.0,9.027207453771169e-11,0.14134062826633453,7.747316743689225e-08,0.12511539459228516,1.4134069681167603
700,0.0,4.560444910595152e-09,0.1412324607372284,3.7129535485291854e-05,0.1251012533903122,1.4126960039138794
750,0.0,4.983520974360944e-12,0.14135481417179108,4.385014563013101e-06,0.12512464821338654,1.413591980934143
800,0.0,6.37122715696492e-11,0.1413409560918808,8.172345644652523e-08,0.12511573731899261,1.4134104251861572
850,0.0,1.260390791735233e-09,0.14128144085407257,1.049271531883278e-06,0.1250697523355484,1.4128248691558838
900,0.0,0.00013423149357549846,0.12168502807617188,0.007397879846394062,0.11708775907754898,1.291500210762024
