epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total
50,0.0,0.001603548415005207,0.03172110766172409,0.0039496044628322124,0.039555761963129044,0.36472487449645996
100,0.0,0.0008797732298262417,0.020290017127990723,0.0004361655446700752,0.03784393146634102,0.211660698056221
150,0.0,0.0011419745860621333,0.0035045219119638205,2.354139360249974e-05,0.009625877253711224,0.04099050164222717
200,0.0,0.0008196660201065242,0.00750843295827508,6.906338967382908e-05,0.0070600612089037895,0.07987329363822937
250,0.0,0.00046999656478874385,0.0017121125711128116,5.821009835926816e-05,0.008439079858362675,0.020053207874298096
300,0.0,0.0005161553854122758,0.002890450181439519,2.4595730792498216e-05,0.006400725804269314,0.03173123672604561
350,0.0,0.0003941681934520602,0.0007062787190079689,8.621331289759837e-06,0.003937389701604843,0.009119841270148754
400,0.0,0.0005710060358978808,0.001271561486646533,3.5915411444875645e-06,0.005532233975827694,0.015606560744345188
450,0.0,0.00019399015582166612,0.0008770256536081433,1.5514086044277065e-05,0.002455984242260456,0.009895347990095615
500,0.0,0.00037632015300914645,0.0014042292023077607,1.2490465451264754e-05,0.0038091118913143873,0.016048798337578773
550,0.0,0.0005644475459121168,0.0009762711124494672,0.00021092462702654302,0.0070603773929178715,0.014694195240736008
600,0.0,0.000503181538078934,0.0009334000642411411,7.293772341654403e-06,0.0029120715335011482,0.011922845616936684
650,0.0,0.0004771394014824182,0.0004514101310633123,7.211182946775807e-06,0.00351905170828104,0.0069719101302325726
700,0.0,0.0002754691813606769,0.00053900305647403,3.453203817116446e-06,0.0020892375614494085,0.006801908370107412
750,0.0,0.0002879492240026593,0.001126446295529604,1.658192377362866e-05,0.002258164342492819,0.012870028614997864
800,0.0,0.00033273184089921415,0.0007140739471651614,1.8997411643795203e-06,0.0019820553716272116,0.0088233957067132
850,0.0,0.00029958001687191427,0.0016565233236178756,1.724931462376844e-05,0.0034438823349773884,0.018235627561807632
900,0.0,0.0002640580933075398,0.0004391003749333322,1.750149181134475e-06,0.0026448077987879515,0.005728795658797026
950,0.0,0.00039434709469787776,0.0005263428902253509,1.7153183762275148e-06,0.002119659446179867,0.007252317853271961
1000,0.0,0.0001540689409011975,0.0007792352698743343,7.012787136773113e-06,0.003131067380309105,0.008632824756205082
1050,0.0,0.00015417624672409147,0.00011323111539240927,2.3123504433897324e-05,0.0010658890241757035,0.0021344274282455444
1100,0.0,0.00016308990598190576,4.093544339411892e-05,1.2079122825525701e-05,0.0008955490193329751,0.001345595228485763
1150,0.0,0.00016190654423553497,1.2664672794926446e-05,2.381328840783681e-06,0.0006456789560616016,0.000959992699790746
1200,0.0,0.00010309741628589109,2.723393299675081e-05,4.2594219848979264e-06,0.0006306224386207759,0.0008304206421598792
1250,0.0,6.901151209603995e-05,2.8829657821916044e-05,7.431716312567005e-06,0.0004544315452221781,0.0007076713372953236
1300,0.0,9.943479381036013e-05,1.3649411812366452e-05,1.569075175211765e-05,0.00038370428956113756,0.0007905756356194615
1350,0.0,6.372242205543444e-05,3.762430787901394e-05,7.261863174790051e-06,0.0006529691745527089,0.00076747388811782
1400,0.0,6.802795542171225e-05,7.920027201180346e-06,1.483196797380515e-06,0.0002955324889626354,0.0004341720195952803
1450,0.0,6.469006621045992e-05,1.0748917702585459e-05,4.8023985073086806e-06,0.00038013453013263643,0.00047896348405629396
1500,0.0,6.120523903518915e-05,9.850014066614676e-06,7.275070288415009e-07,0.0002571178483776748,0.00041180141852237284
1550,0.0,4.477838956518099e-05,2.4100034352159128e-05,1.631282771086262e-06,0.00019432335102465004,0.0004812051192857325
1600,0.0,4.1987233998952433e-05,4.4944998080609366e-05,2.185834546253318e-06,0.0001571479660924524,0.0006812445353716612
1650,0.0,3.855474278680049e-05,1.4834995454293676e-05,3.545524577930337e-06,0.00013285163731779903,0.00037657891516573727
1700,0.0,3.390873098396696e-05,1.5809342585271224e-05,1.0233456123387441e-05,0.00017328794638160616,0.00042997163836844265
1750,0.0,5.138048800290562e-05,6.026277787896106e-06,2.4240489437943324e-07,8.9202934759669e-05,0.0003195892786607146
1800,0.0,1.957792483153753e-05,0.00013359035074245185,2.148439125448931e-05,9.557859448250383e-05,0.0016486371168866754
1850,0.0,3.386386015336029e-05,7.305811323021771e-06,2.9981907800902263e-07,6.718442455166951e-05,0.00024537561694160104
1900,0.0,2.4556931748520583e-05,5.442224846774479e-06,1.5492583997911424e-06,4.7065375838428736e-05,0.00019269948825240135
1950,0.0,2.23711922444636e-05,1.4893718798703048e-05,1.5373205997093464e-06,8.886459545465186e-05,0.0002761663345154375
2000,0.0,1.325424909737194e-05,0.00026109881582669914,1.824351420509629e-05,0.00016692382632754743,0.0028596946503967047
2050,0.0,1.9033603166462854e-05,2.6746383809950203e-06,1.8150512914871797e-06,3.5481472878018394e-05,0.00014006490528117865
2100,0.0,1.8135784557671286e-05,2.243615199404303e-05,5.70341398997698e-06,3.433819074416533e-05,0.0003720745735336095
2150,0.0,2.3994201910682023e-05,1.3213703823566902e-05,2.8842729079769924e-05,7.073322922224179e-05,0.0005405353149399161
2200,0.0,9.002579645311926e-06,2.3493153094023e-06,3.427417709644942e-07,2.8433018087525852e-05,7.193347119027749e-05
2250,0.0,1.4075916624278761e-05,4.674349838751368e-06,1.064596858668665e-06,2.9685957997571677e-05,0.00012776904623024166
2300,0.0,1.5212987818813417e-05,2.161105840059463e-06,7.534281394327991e-07,2.023231536441017e-05,0.00010521028161747381
2350,0.0,1.5387469829875045e-05,0.00022117971093393862,1.2343994967523031e-05,0.00024943758035078645,0.0024121743626892567
2400,0.0,1.579348463565111e-05,6.6162351686216425e-06,2.4352235072910844e-07,2.1816180378664285e-05,0.00014756499149370939
2450,0.0,3.8319652958307415e-05,0.0001567517319926992,1.2807908206013963e-05,0.00023348045942839235,0.0018871946958824992
2500,0.0,1.513046936452156e-05,4.659339992940659e-06,1.139128968929981e-07,1.9437664377619512e-05,0.00012338487431406975
2550,0.0,8.605977200204507e-06,1.1704776170518016e-06,4.5504688728215115e-07,1.3319341633177828e-05,5.928513201070018e-05
2600,0.0,1.4492057744064368e-05,3.306946837255964e-06,1.0773510439321399e-06,1.8226861357106827e-05,0.00011630326480371878
2650,0.0,1.2816415619454347e-05,1.3913505426899064e-05,1.973162966351083e-07,2.5876193831209093e-05,0.00020519029931165278
2700,0.0,8.98844427865697e-06,0.0002860879176296294,7.92762148194015e-06,9.860883437795565e-05,0.0029850974678993225
2750,0.0,1.2057470485160593e-05,8.747373954065552e-07,2.7306842298457923e-07,1.173094005935127e-05,7.176540384534746e-05
2800,0.0,1.2108053851989098e-05,2.056579069176223e-05,1.090037358153495e-06,6.570999539690092e-05,0.0002770985593087971
2850,0.0,1.6325779142789543e-05,1.4300551811174955e-05,1.9218966826883843e-06,1.7509244571556337e-05,0.00024385337019339204
2900,0.0,1.160975716629764e-05,9.122001756622922e-06,1.1360261851223186e-06,1.8429085685056634e-05,0.0001606290607014671
2950,0.0,7.94507286627777e-06,2.2828720830148086e-05,1.4516077726511867e-06,2.360615508223418e-05,0.0002825286646839231
3000,0.0,7.5619868766807485e-06,9.654196446717833e-07,1.4400889085663948e-06,1.38011791932513e-05,6.18650228716433e-05
3050,0.0,6.830875918240054e-06,5.285876341076801e-07,7.149299818820509e-08,1.3469304576574359e-05,4.015518425148912e-05
3100,0.0,6.321641194517724e-06,2.9693691772081365e-07,4.670135922424379e-08,1.4279738934419584e-05,3.504459164105356e-05
