number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
23,0.007377979811280966,2026-05-19 00:32:55.428222,2026-05-19 00:32:55.594525,0 days 00:00:00.166303,48,1.4831901169305548,0.0219323663938008,0.002892490476412582,3,0.4186352888748215,3000,PRUNED
24,0.019802600145339966,2026-05-19 00:32:55.602211,2026-05-19 00:32:55.772316,0 days 00:00:00.170105,32,3.1417639113887175,0.14777191851123586,0.004818178716505787,2,0.3478364425916031,4000,PRUNED
25,0.02325291745364666,2026-05-19 00:32:55.779200,2026-05-19 00:32:55.990543,0 days 00:00:00.211343,16,1.3343376463783772,0.007490447302888235,0.00554575836055187,4,0.8995296906256215,2000,PRUNED
26,7.279647252289578e-05,2026-05-19 00:32:55.997742,2026-05-19 00:32:58.781119,0 days 00:00:02.783377,80,12.412015871037324,0.6345849655555876,0.0022365294016646314,5,0.3409783494501535,5000,PRUNED
27,0.02024274505674839,2026-05-19 00:32:58.788613,2026-05-19 00:32:58.974326,0 days 00:00:00.185713,112,3.3822468030183894,3.3121114260311004,0.0034501876435724236,3,0.41690927744468353,3000,PRUNED
28,1.1983622243860736e-05,2026-05-19 00:32:58.980690,2026-05-19 00:33:01.429416,0 days 00:00:02.448726,48,1.8045227061384181,0.12907456676817416,0.00703070327536018,2,0.629245839345924,4000,COMPLETE
29,0.006279786583036184,2026-05-19 00:33:01.439725,2026-05-19 00:33:01.578216,0 days 00:00:00.138491,64,6.646081869560622,0.0399900938088983,0.0074276795757318576,2,0.6416624460475785,4000,PRUNED
30,0.0332849957048893,2026-05-19 00:33:01.584814,2026-05-19 00:33:01.731769,0 days 00:00:00.146955,32,1.0316925823458831,0.3522735776738417,0.00036843835523768704,2,0.5593372142756072,1000,PRUNED
31,2.0040228264406323e-05,2026-05-19 00:33:01.738149,2026-05-19 00:33:05.718005,0 days 00:00:03.979856,48,1.7907929613796831,0.12965471521992442,0.004422801680739028,3,0.4339089382220102,5000,COMPLETE
32,1.2293999134271871e-05,2026-05-19 00:33:05.728901,2026-05-19 00:33:08.702137,0 days 00:00:02.973236,48,1.7418713132529744,0.10017513906421632,0.007351677769373115,2,0.4482570249311303,4000,COMPLETE
33,1.0616597137413919e-05,2026-05-19 00:33:08.710417,2026-05-19 00:33:11.289589,0 days 00:00:02.579172,48,1.5535517336264937,0.10456280462252597,0.007938830815443679,2,0.5211504309787146,4000,COMPLETE
34,0.003987292759120464,2026-05-19 00:33:11.298656,2026-05-19 00:33:11.447050,0 days 00:00:00.148394,48,2.671623305354119,1.0229677468655096,0.00812723138509936,2,0.5194632546128337,4000,PRUNED
