epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.03805160149931908,0.22989603877067566,0.2497919350862503,0.01085189450532198,0.4689318537712097
100,0.001953182741999626,0.012079044245183468,0.0008446589345112443,0.0002443839330226183,0.011091445572674274
150,0.0017330540576949716,0.001182065811008215,2.1305149857653305e-05,0.00011324799561407417,0.002559877932071686
200,0.0022841538302600384,0.0005860250676050782,8.179074939107522e-06,8.49546559038572e-05,0.0026914426125586033
250,0.0008068095194175839,0.00040410185465589166,7.626179922226584e-06,7.844969513826072e-05,0.0010898449691012502
300,0.003937787842005491,0.0002681449113879353,1.1825784895336255e-05,6.579246837645769e-05,0.004133036360144615
350,0.0019506351090967655,0.0001852107234299183,3.708331860252656e-06,5.289849286782555e-05,0.002080592093989253
400,0.0022040128242224455,0.00012095273996237665,8.183378668036312e-06,4.8407269787276164e-05,0.0022952163126319647
450,0.001444463268853724,0.00019905148656107485,1.2069740478182212e-06,4.6467397623928264e-05,0.0015810772310942411
500,0.0020296492148190737,5.736971434089355e-05,2.8397505502653075e-07,4.679243284044787e-05,0.0020689531229436398
550,0.0028501360211521387,0.00045312487054616213,1.4866103583699442e-06,5.526301174541004e-05,0.003159740474075079
600,0.0027659505140036345,0.00016105661052279174,3.0889550544088706e-06,3.7474095734069124e-05,0.0028788100462406874
650,0.0021065205801278353,4.50658772024326e-05,2.497900823072996e-06,4.2060521082021296e-05,0.0021398961544036865
700,0.0028160810470581055,5.405514093581587e-05,6.863979251647834e-06,3.351035775267519e-05,0.0028603665996342897
750,0.003723608795553446,3.899141665897332e-05,8.789495495875599e-07,3.251789530622773e-05,0.003751075826585293
800,0.0028878264129161835,8.442139369435608e-05,2.3543839233752806e-06,3.455726618994959e-05,0.002947792410850525
850,0.0016609880840405822,0.0001469285343773663,4.353812073532026e-06,2.1270718207233585e-05,0.0017656360287219286
900,0.001014654990285635,4.8886289732763544e-05,5.005587809137069e-06,2.3446395061910152e-05,0.0010533842723816633
950,0.0026602577418088913,0.0005071547930128872,4.067926511197584e-06,1.7510115867480636e-05,0.0030094219837337732
1000,0.0024594836868345737,0.00024238775949925184,2.017055157921277e-05,2.4937104171840474e-05,0.0026464005932211876
1050,0.0056102704256772995,0.00010737525735748932,6.100609084569442e-08,3.158768231514841e-05,0.005683315917849541
