number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
53,0.011513059027493,2026-05-17 19:09:17.013204,2026-05-17 19:09:17.992692,0 days 00:00:00.979488,0.9499502157574471,0.9919459524311817,64,3.706908662901345,0.03496469362030748,0.007485400071824664,4,0.799554876432957,5000,PRUNED
54,0.0023634047247469425,2026-05-17 19:09:17.999259,2026-05-17 19:09:27.507413,0 days 00:00:09.508154,0.9149531346847112,0.9937295111519442,80,1.0198382514809425,0.06840117497821188,0.005842254767743386,4,0.8337275835469032,5000,COMPLETE
55,0.043919969350099564,2026-05-17 19:09:27.518942,2026-05-17 19:09:27.756991,0 days 00:00:00.238049,0.8840881680076162,0.9937122691376544,96,1.0438808284083025,0.05375163922542308,0.005821925294835964,6,0.8202659790289573,5000,PRUNED
56,0.06803243607282639,2026-05-17 19:09:27.765480,2026-05-17 19:09:27.919725,0 days 00:00:00.154245,0.8655391801429139,0.9932922463612722,80,1.7196708097999147,0.22585294822479202,0.0048913977210568935,2,0.3538962538281475,1000,PRUNED
57,0.025931626558303833,2026-05-17 19:09:27.927681,2026-05-17 19:09:28.309198,0 days 00:00:00.381517,0.9678254167105756,0.999096221174226,64,1.2648406444099534,0.08535528373382295,0.004030586774427251,5,0.5978814002039059,5000,PRUNED
58,0.071925088763237,2026-05-17 19:09:28.317285,2026-05-17 19:09:28.486002,0 days 00:00:00.168717,0.9613636687558275,0.9938773644354564,16,1.6833764241146645,0.6959598969182603,0.009831755718364893,3,0.3285086975892497,4000,PRUNED
59,0.0155837032943964,2026-05-17 19:09:28.492656,2026-05-17 19:09:29.128009,0 days 00:00:00.635353,0.9136131733084025,0.9946609990431294,96,1.0122913407212801,0.017504887951122376,0.0032961425410680035,4,0.5238530162489916,2000,PRUNED
60,0.03560442849993706,2026-05-17 19:09:29.134413,2026-05-17 19:09:29.521029,0 days 00:00:00.386616,0.8587640191914119,0.9926202703994054,64,1.2093108616871568,0.11446532591830244,0.006021473580516363,5,0.7461208542755511,3000,PRUNED
61,0.13559654355049133,2026-05-17 19:09:29.527019,2026-05-17 19:09:29.716272,0 days 00:00:00.189253,0.9339740295188199,0.9978546642613194,32,4.0541103277381705,0.07377889252855722,0.0015110290353522698,4,0.8128899762371807,5000,PRUNED
62,0.008522918447852135,2026-05-17 19:09:29.722510,2026-05-17 19:09:30.808297,0 days 00:00:01.085787,0.9251217448728841,0.992683621111742,80,2.4622334090588405,0.03153380346755086,0.0076483944724000915,4,0.8627934442441761,5000,PRUNED
