trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
25,complete,0.0027210628613829613,112,3,0.056254450558678164,2.7133700978020188,0.0036729625786975717,0.35489751976862444,5000,0.9470759669478774,0.9969976459942287
32,complete,0.002548253396525979,128,4,0.04213189352257196,1.3531604899125762,0.009436270269413134,0.7225514465600401,5000,0.9393049410259616,0.9902759791914844
40,complete,0.0025261526461690664,80,4,0.03597352300958015,2.899701600889031,0.0076276506189229725,0.8678615070550012,5000,0.9248280969841748,0.991758634269374
42,complete,0.002429984975606203,80,4,0.026323562918538674,2.6874213514798755,0.007318530457119655,0.8533762526266918,5000,0.9426657498509873,0.9918149210983125
43,complete,0.0025031273253262043,80,4,0.023282160892472068,2.706088192530385,0.006804143666898922,0.8847997838427841,5000,0.9535302296674527,0.992804991928435
54,complete,0.0023634047247469425,80,4,0.06840117497821188,1.0198382514809425,0.005842254767743386,0.8337275835469032,5000,0.9149531346847112,0.9937295111519442
63,complete,0.0023262451868504286,80,4,0.05798271088636744,2.809650838374207,0.004919564495448745,0.8831190705656629,5000,0.9418282449304838,0.9931961358163743
73,complete,0.0023678906727582216,96,4,0.06427107767060525,2.8634845309318315,0.006159075382283373,0.8503137991773306,5000,0.9054797080662623,0.9917704422829193
74,complete,0.0023513189516961575,96,4,0.1432120731383236,4.569862036701732,0.00616139896505596,0.8500746452989281,5000,0.9049292335360348,0.9908544057925678
81,complete,0.0022901897318661213,112,5,0.1909928711400585,3.10988297335392,0.004054817464259742,0.7780290074059925,4000,0.9099229089587317,0.9913649106933661
84,complete,0.002394323004409671,112,5,0.10121571091919285,2.5932069887191718,0.005189402402745732,0.8268529785003431,5000,0.9205064920377316,0.9914699739377281
85,complete,0.0025065522640943527,128,5,0.04324400926127831,2.6473746908317852,0.005540253924297034,0.8214275262906391,5000,0.9280574994799167,0.9914360626678974
86,complete,0.0024771629832684994,112,5,0.10505922581335207,4.480478865507599,0.007840544771644496,0.8451958288572932,3000,0.9212810964012202,0.9918729499930968
88,complete,0.00247528706677258,128,5,0.0807922857003041,4.055398523171464,0.007160960276869001,0.8046461904490746,4000,0.8996844769670104,0.9914683886495861
106,complete,0.0023706513457000256,128,4,0.03879591898638153,1.1181897450416407,0.008160943061235208,0.3284842113419027,2000,0.9075684350684062,0.990682890279938
114,complete,0.0023112029302865267,128,4,0.08333399198653625,1.140789639223689,0.004282760568613865,0.3377590391952373,3000,0.9135015187820634,0.9912277731585598
127,complete,0.0023612522054463625,96,5,0.08832368072886441,4.510434316500491,0.008248707255964109,0.396873666908819,5000,0.9254954491547596,0.9922004443771315
135,complete,0.0024522054009139538,80,5,0.13740112080099684,3.603390617967802,0.009175816658791825,0.3014831576296787,5000,0.9101219256051121,0.9913458679307916
136,complete,0.0023986988235265017,80,5,0.13562531432105085,1.5966820976639007,0.009012325409762188,0.3002661139726862,5000,0.9356828414487789,0.9951006427469915
139,complete,0.0023078471422195435,80,5,0.19971413653287248,1.891981670723605,0.007717551853588796,0.30595483195799017,5000,0.9102597403657546,0.990816927747507
143,complete,0.0022847482468932867,80,5,0.25415894045705384,2.9432821412315557,0.005321384965912924,0.3197284512009267,5000,0.9082742353942156,0.991267165757883
144,complete,0.002366446889936924,80,5,0.24428261285751834,2.53725052948934,0.00807802224828704,0.3169691516133465,5000,0.9034113848361187,0.990682612679141
145,complete,0.0023268014192581177,80,5,0.25975236086030873,2.589882254712103,0.005391636809987452,0.3200537659424204,5000,0.9073615145817002,0.9911891848556155
151,complete,0.0023015406914055347,80,5,0.1690273549914705,2.15073525605273,0.005160637198661044,0.3271510019214246,5000,0.9079218441451068,0.9911041764787084
153,complete,0.0023605197202414274,80,5,0.18009956588929177,2.263993997781929,0.007158918044099748,0.3715358918511209,5000,0.9073447760743439,0.9913198924972019
171,complete,0.0024537586141377687,80,5,0.09699785093514299,1.9938776990417697,0.008515538007752562,0.3648216183660206,5000,0.9063206256187443,0.9909195523080123
196,complete,0.0023276095744222403,80,5,0.06758292953194078,1.0033494567693069,0.005522258700885892,0.3217122375406205,5000,0.909023682885812,0.9938141006089428
197,complete,0.0023662233725190163,80,5,0.07618633878155091,1.0207931054190744,0.005368492789482906,0.3436534098356975,5000,0.8990216999633833,0.9938100436594133
198,complete,0.0023671139497309923,80,5,0.06960315236751001,1.1516422828604103,0.00541121919885771,0.34685254681888567,5000,0.8989043215172172,0.993609611678143
201,complete,0.0001303147291764617,80,4,0.07098979393218706,1.033152920073283,0.006341986746261065,0.3232351199767098,5000
