epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.005470282398164272,0.26488161087036133,4.014350997749716e-05,0.006654572207480669,0.008520534262061119
100,0.0026527331210672855,0.18715617060661316,1.6032532812459976e-07,0.0011839786311611533,0.004525898024439812
150,0.0022595059126615524,0.1068633571267128,1.7419173673260957e-05,0.0006897497805766761,0.003502331208437681
200,0.0016974530881270766,0.06168370321393013,4.546515629044734e-05,0.0003875221882481128,0.0027689416892826557
250,0.002279577311128378,0.05536796525120735,2.430667791486485e-06,0.00037160576903261244,0.002857563551515341
300,0.003249380737543106,0.0335787869989872,5.039255484007299e-05,0.00018587887461762875,0.00408909423276782
350,0.002769672777503729,0.01906944252550602,7.652074600628112e-06,0.00011613589595071971,0.003036887850612402
400,0.003016609465703368,0.010908398777246475,8.211787644540891e-06,0.0001482159859733656,0.003207811387255788
450,0.0015231724828481674,0.014618995599448681,4.881889981334098e-05,0.0001879722549347207,0.002157551469281316
500,0.003964581992477179,0.011401996947824955,6.825522723374888e-05,0.00017495310748927295,0.004761154297739267
550,0.002591862343251705,0.015255177393555641,5.063232310931198e-05,0.00023873600002843887,0.003250737441703677
600,0.004991764202713966,0.012586656957864761,1.4691277101519518e-05,0.0001899316266644746,0.00526454346254468
650,0.0022531216964125633,0.01538920495659113,9.442346708965488e-06,0.0001826104271458462,0.002501437207683921
700,0.0030842162668704987,0.010676944628357887,2.410825800325256e-05,0.00033725419780239463,0.0034320682752877474
750,0.0037155416794121265,0.007644279394298792,2.442794311718899e-06,6.651518197031692e-05,0.0038164122961461544
800,0.004054452758282423,0.007562214508652687,1.5855137462494895e-05,0.0003188565606251359,0.004288625903427601
850,0.004084032028913498,0.008740008808672428,2.729753305175109e-06,8.072162745520473e-05,0.0041987295262515545
900,0.0027637402527034283,0.010720813646912575,7.814784476067871e-05,5.037920345785096e-05,0.00365242687985301
950,0.002973256865516305,0.014423049055039883,1.2171061825938523e-05,0.00017559815023560077,0.003239197889342904
1000,0.0025333636440336704,0.009744920767843723,1.496426102676196e-05,5.619895819108933e-05,0.0027804553974419832
1050,0.001629349309951067,0.006177046801894903,3.546890866346075e-06,0.00030034425435587764,0.001726588699966669
1100,0.0021372234914451838,0.008611410856246948,2.2783920030633453e-06,8.041705586947501e-05,0.002246121410280466
1150,0.0024960641749203205,0.011294814758002758,2.3087170120561495e-05,5.11359357915353e-05,0.0028398840222507715
1200,0.0022873154375702143,0.011862666346132755,2.2450914912042208e-05,0.0001664150331635028,0.00263045122846961
1250,0.001310261432081461,0.007413886021822691,1.0338431820855476e-05,0.00011149413330713287,0.0014877845533192158
1300,0.002936549251899123,0.007979565300047398,1.934163083205931e-05,6.583811773452908e-05,0.003209761343896389
1350,0.003941589035093784,0.005891128443181515,3.4368008527962957e-07,0.00012711837189272046,0.004003936890512705
