epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total,zeta_hat,omega_0_hat
50,0.004626785404980183,0.16209299862384796,0.00012715236516669393,0.005074188578873873,0.007519238628447056,1.1438087224960327,1.1544725894927979
100,0.008144186809659004,0.07917507737874985,3.4175632208643947e-06,0.002395011717453599,0.008970113471150398,0.829768180847168,1.188489556312561
150,0.0036848944146186113,0.0463842935860157,4.7445590212191746e-07,0.0009081565658561885,0.004153482150286436,0.7201314568519592,1.2592675685882568
200,0.0033887249883264303,0.04896945133805275,4.34670891991118e-06,0.0004657197277992964,0.003921886440366507,0.7422868609428406,1.3229063749313354
250,0.0023138239048421383,0.04168742895126343,9.371178748551756e-05,0.0004259776324033737,0.0036678160540759563,0.7979336977005005,1.3923274278640747
300,0.002157375914976001,0.03192218020558357,0.000151417450979352,0.00042651305557228625,0.003990772180259228,0.8647652268409729,1.458366870880127
350,0.003795664757490158,0.03654249757528305,0.0002722522767726332,0.0003404201997909695,0.006883612368255854,0.8949928283691406,1.536313772201538
400,0.0016447723610326648,0.02752489037811756,0.0001450325653422624,0.0004627930757123977,0.0033703469671308994,0.9429839849472046,1.6063363552093506
450,0.0026815743185579777,0.04007989168167114,3.2016696422942914e-06,0.0002932320930995047,0.003114389954134822,0.9588667154312134,1.6636337041854858
500,0.003157892730087042,0.024936791509389877,7.735835242783651e-05,0.0007581107201986015,0.0041808439418673515,1.027194619178772,1.7149324417114258
550,0.0033371257595717907,0.02031932957470417,6.527062396344263e-06,0.0008035817299969494,0.003605589736253023,1.0534050464630127,1.7677514553070068
600,0.0020127277821302414,0.026351021602749825,8.743240869080182e-06,0.0004645380249712616,0.0023636703845113516,1.0562744140625,1.7981113195419312
650,0.0030504725873470306,0.024631880223751068,4.773215096065542e-06,0.0006080782040953636,0.003344523487612605,1.1068980693817139,1.8278166055679321
700,0.0016267825849354267,0.022743424400687218,8.497386261296924e-06,0.0010028628166764975,0.001939190668053925,1.0715361833572388,1.8393957614898682
750,0.0018157399026677012,0.05068914219737053,3.5566394217312336e-05,0.0006851794896647334,0.0026782953646034002,1.1244829893112183,1.8274568319320679
800,0.003913423046469688,0.021404236555099487,7.632314009242691e-06,0.0002837417123373598,0.004203788470476866,1.1341363191604614,1.8729572296142578
850,0.003144917543977499,0.035346802324056625,8.007558062672615e-05,0.0010472440626472235,0.004299141466617584,1.139503836631775,1.9177719354629517
900,0.002275698585435748,0.035510387271642685,5.12998349222471e-06,0.0003123636415693909,0.002682102145627141,1.1118664741516113,1.9048370122909546
950,0.004296919330954552,0.027017198503017426,7.239381830004277e-06,0.0002988569322042167,0.004639485385268927,1.1108521223068237,1.9247967004776
1000,0.003716841572895646,0.0291866697371006,2.0858413336100057e-05,0.00019136664923280478,0.004217292182147503,1.1736392974853516,1.953482985496521
1050,0.0011850331211462617,0.020903848111629486,0.00016446855443064123,0.0002841812383849174,0.0030387570150196552,1.2238258123397827,2.0191776752471924
1100,0.0043496922589838505,0.01885448396205902,2.84814177575754e-05,0.0006234791944734752,0.004823051393032074,1.1874973773956299,2.00596022605896
1150,0.002844753675162792,0.019129997119307518,7.914050002000295e-06,0.00043811110663227737,0.0031151941511780024,1.242357611656189,2.022834300994873
1200,0.0012890398502349854,0.011576734483242035,1.3691941376237082e-06,0.0002713870198931545,0.0014184991596266627,1.2363513708114624,2.045398712158203
