run,zeta_true,zeta_pred,omega_0_true,omega_0_pred,abs_error_zeta,rel_error_zeta_pct,abs_error_omega_0,rel_error_omega_0_pct,best_val_loss,damped_case
1,1.8187337408901114,1.2844914197921753,4.38556435755498,3.247443199157715,0.5342423210979361,29.37441083797517,1.138121158397265,25.951532473503256,0.003146658418700099,overdamped
2,0.31893414983956636,0.6984811425209045,6.5225597539440825,8.469039916992188,0.3795469926813382,119.0048142766342,1.946480163048105,29.842274145071666,0.009228130802512169,underdamped
3,1.817554008978973,1.2531617879867554,4.788934213870245,3.4705464839935303,0.5643922209922176,31.052294358464206,1.318387729876715,27.529877651237168,0.002491248305886984,overdamped
4,0.44130488730644873,0.3951203227043152,1.3108640949453343,1.2137643098831177,0.04618456460213355,10.46545504719559,0.09709978506221661,7.407311363293223,0.0028327256441116333,underdamped
5,1.0,0.9217334985733032,5.525210963220562,5.344675540924072,0.07826650142669678,7.826650142669678,0.1805354222964901,3.267484689693346,0.002888014307245612,critically_damped
6,0.7888700660403372,0.740337073802948,1.1649076602766781,1.1598397493362427,0.04853299223738916,6.152216230106966,0.0050679109404354605,0.4350482972385792,0.0027305716648697853,underdamped
7,1.323618221416778,1.0792914628982544,4.91652804530761,4.211549758911133,0.2443267585185236,18.459005366139525,0.7049782863964769,14.338945692973645,0.0025319885462522507,overdamped
8,1.0275026197080623,1.0121572017669678,2.1975746281498973,2.2604901790618896,0.015345417941094563,1.4934675247304534,0.0629155509119923,2.8629540087546377,0.002571325283497572,overdamped
9,0.1783395848732658,0.03685522824525833,1.5682599541637785,0.9718615412712097,0.14148435662800746,79.33424131751292,0.5963984128925688,38.02930829860908,0.005005244631320238,underdamped
10,0.3471347796490902,0.36321115493774414,2.2553456943463477,2.3061728477478027,0.016076375288653966,4.631162370104537,0.05082715340145505,2.2536302762307114,0.0038524866104125977,underdamped
11,1.4048025393384647,1.2091044187545776,4.175811158863287,3.7799205780029297,0.19569812058388703,13.930649689460498,0.39589058086035767,9.480567147297064,0.002784149022772908,overdamped
12,1.5318670389390823,1.1896981000900269,6.619308928135022,5.481208324432373,0.3421689388490554,22.33672571779008,1.1381006037026493,17.19364689061743,0.002749795326963067,overdamped
13,0.503356859985747,0.5218523144721985,2.420463768430623,2.514984607696533,0.018495454486451512,3.674421857879364,0.09452083926591026,3.905071437082306,0.002808273071423173,underdamped
14,1.493136613876797,1.08521568775177,7.472955106197984,5.792609691619873,0.40792092612502695,27.31973232281113,1.6803454145781114,22.485688602417163,0.002955688163638115,overdamped
15,0.07333493789138075,0.31086692214012146,5.087018036358858,5.574889183044434,0.23753198424874072,323.90016420353237,0.48787114668557585,9.590513404878354,0.06571666896343231,underdamped
16,1.3520772898121556,1.0030202865600586,7.752855937926688,5.974136829376221,0.349057003252097,25.816349840517738,1.778719108550467,22.94275971063822,0.0026213510427623987,overdamped
17,1.7176352651012132,1.1480375528335571,6.679769508591389,4.71710205078125,0.5695977122676561,33.16173834111936,1.9626674578101388,29.382263194647575,0.003395211650058627,overdamped
18,1.0465601948800707,0.9576528668403625,4.84889896827244,4.570251941680908,0.08890732803970813,8.495194875044561,0.27864702659153195,5.746604093316631,0.0025097334291785955,overdamped
19,1.0,0.9393892884254456,3.938221626064491,3.831110715866089,0.06061071157455444,6.061071157455444,0.10711091019840202,2.7197786302707185,0.0020097915548831224,critically_damped
20,1.9309966384200603,1.5193778276443481,3.8598253780649125,3.122401237487793,0.41161881077571216,21.316391887274246,0.7374241405771196,19.105116639935154,0.00291102915070951,overdamped
21,1.0318361433086067,0.9710599780082703,6.932014094555682,6.788951873779297,0.06077616530033647,5.89009850977465,0.1430622207763852,2.0637901023418936,0.003074502572417259,overdamped
22,1.3008806144657237,0.9977010488510132,7.628455950926579,6.089633464813232,0.3031795656147105,23.305717853227247,1.5388224861133466,20.172135698396946,0.00256872596219182,overdamped
23,0.6867003837829895,0.7379022836685181,3.809563852944501,4.1803436279296875,0.05120189988552859,7.45622124214647,0.37077977498518644,9.732866787325328,0.0025201677344739437,underdamped
24,0.8509399992757557,0.8893999457359314,5.580740454881427,5.960235595703125,0.0384599464601757,4.519701329460289,0.3794951408216978,6.800085828928965,0.002836007159203291,underdamped
25,0.3446136400954819,0.5348729491233826,4.390058216174224,5.085416316986084,0.19025930902790067,55.20945397726731,0.6953581008118599,15.83938222618467,0.005217220634222031,underdamped
26,0.6100761773268916,0.789147675037384,5.46510438890649,6.614392280578613,0.17907149771049247,29.35231768844208,1.149287891672123,21.0295688771296,0.002816048450767994,underdamped
27,1.9158432168352393,1.2013533115386963,6.922557774611067,4.422820568084717,0.714489905296543,37.293756556802236,2.4997372065263503,36.110023027822166,0.003395318053662777,overdamped
28,0.3455740597358042,0.5595332384109497,5.955845098690515,7.252380847930908,0.21395917867514552,61.914131760560984,1.2965357492403928,21.769131462560303,0.004710137378424406,underdamped
29,1.183500495715562,1.0700606107711792,1.182164939890709,1.1062394380569458,0.11343988494438273,9.585115118671354,0.07592550183376323,6.422581085917041,0.002248192671686411,overdamped
30,1.8567608328543663,1.1661983728408813,6.327313101111641,4.272693634033203,0.690562460013485,37.19178301234927,2.054619467078438,32.47222690335118,0.00295654172077775,overdamped
31,1.0,0.9893377423286438,2.3838278388274268,2.3907268047332764,0.010662257671356201,1.0662257671356201,0.006898965905849597,0.28940705337358197,0.0030377209186553955,critically_damped
32,1.0730338337455994,0.9590705633163452,1.455553358763456,1.3674259185791016,0.11396327042925414,10.620659558463947,0.08812744018435437,6.054566097063026,0.0027802330441772938,overdamped
33,1.0,0.9523093700408936,4.71539900024211,4.5857157707214355,0.047690629959106445,4.7690629959106445,0.12968322952067446,2.7502069180999515,0.002559437183663249,critically_damped
34,0.24090943667752973,0.41058349609375,5.931878138372891,6.8240861892700195,0.16967405941622027,70.43064055782014,0.8922080508971284,15.040903236455566,0.007535939570516348,underdamped
35,1.2172292230632487,1.0393195152282715,6.027700365299553,5.383785724639893,0.17790970783497717,14.615957657281184,0.6439146406596601,10.68259206059026,0.0027870279736816883,overdamped
36,1.297753091873234,1.2091249227523804,2.3892715844854053,2.301439046859741,0.0886281691208537,6.829355266102574,0.08783253762566412,3.6761219693901497,0.0023860919754952192,overdamped
