epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total,nu_hat
50,0.023516803979873657,0.0009358407696709037,0.026153942570090294,0.005199040751904249,0.021238435059785843,2.7002601623535156,0.9845168590545654
100,0.027906956151127815,0.00011052539775846526,0.044201165437698364,0.008056418038904667,0.022163860499858856,4.529692649841309,0.9278379678726196
150,0.026247499510645866,4.0101011109072715e-05,0.04244820773601532,0.008728982880711555,0.01832755096256733,4.358758926391602,0.8694283962249756
200,0.002807705430313945,0.003672847291454673,0.016257351264357567,0.003988719079643488,0.004468114115297794,1.7051584720611572,0.7646241784095764
250,0.0006845941534265876,0.000807450502179563,0.000139544703415595,0.0002838239597622305,0.0006640641367994249,0.02555180713534355,0.5666860342025757
300,0.00042236250010319054,0.00020340677292551845,4.054623786942102e-05,0.00012636653264053166,0.00035988836316391826,0.007774719037115574,0.5168521404266357
350,0.0002921741979662329,8.975255332188681e-05,2.2343681848724373e-05,3.565747101674788e-05,0.00018750366871245205,0.003780642757192254,0.5018095374107361
400,0.00015132078260648996,0.00026326501392759383,0.0001257059193449095,2.9478667784132995e-05,0.00017743663920555264,0.015649348497390747,0.4877077341079712
450,0.00018954991537611932,0.00012255420733708888,1.664816591073759e-05,1.4252103937906213e-05,0.00010232127533527091,0.0032224294263869524,0.4711325764656067
500,0.0002550986537244171,6.89603912178427e-05,0.0002563445596024394,8.578175766160712e-05,0.0007553016184829175,0.02743697538971901,0.4683396816253662
550,0.0002510383492335677,0.00013059802586212754,4.04008969780989e-05,3.7240752135403454e-05,0.0001224948064191267,0.00596951600164175,0.4433480501174927
600,0.0001404234644724056,0.00012073696416337043,1.0465516425028909e-05,7.889742846600711e-06,5.7721539633348584e-05,0.002473242115229368,0.4361928701400757
650,0.00019012544362340122,8.796105976216495e-05,6.480509455286665e-06,8.049447387747932e-06,4.736970367957838e-05,0.0017982814460992813,0.4356279671192169
700,0.00022870682005304843,9.266785491490737e-05,7.36095680622384e-05,2.9601353162433952e-05,0.00014525369624607265,0.008812355808913708,0.4349677860736847
750,7.111031300155446e-05,4.5521326683228835e-05,9.651458640291821e-06,5.932879048486939e-06,3.501369064906612e-05,0.0015507981879636645,0.42910122871398926
800,0.0001074977990356274,3.77866999770049e-05,4.726367478724569e-06,4.390549747768091e-06,3.0998318834463134e-05,0.0010019070468842983,0.4275411069393158
850,0.00019902572967112064,0.00010441517224535346,2.4443845177302137e-05,7.574177288915962e-06,4.168890154687688e-05,0.0037633036263287067,0.42162641882896423
900,0.00014737249875906855,4.120722587686032e-05,3.7392301237559877e-06,4.133182756049791e-06,2.923392821685411e-05,0.0009746995638124645,0.414639413356781
950,0.0003892843087669462,7.003016071394086e-05,0.00023092296032700688,2.7644693545880727e-05,0.00010938490595435724,0.024458328261971474,0.41449472308158875
1000,0.00023012033489067107,3.7671012250939384e-05,4.706726940639783e-06,3.443338528086315e-06,3.5439254133962095e-05,0.0011119366390630603,0.40413346886634827
1050,9.966533980332315e-05,3.95100396417547e-05,1.0564967851678375e-05,7.0686801336705685e-06,4.075905599165708e-05,0.001621949253603816,0.40225130319595337
1100,0.00018534265109337866,2.4352311811526306e-05,6.695021056657424e-06,4.2740211938507855e-06,3.1931427656672895e-05,0.0011411081068217754,0.40072259306907654
1150,0.00016205017163883895,5.217216312303208e-05,4.8741196224000305e-05,3.864972768496955e-06,7.645919686183333e-05,0.005596541333943605,0.3989867568016052
1200,0.0001719649153528735,3.0385321224457584e-05,3.106447138634394e-06,2.7971072995569557e-06,4.6444216422969475e-05,0.0008144338498823345,0.38559937477111816
