number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
15,8.772323781158775e-05,2026-05-19 00:07:30.839732,2026-05-19 00:07:51.719682,0 days 00:00:20.879950,96,4.995657141647444,0.257965681676157,0.009818247569037455,5,0.782801182566667,4000,COMPLETE
16,0.0906079113483429,2026-05-19 00:07:51.730765,2026-05-19 00:07:51.959431,0 days 00:00:00.228666,64,3.7665435455339784,0.06446221903608028,0.0015107653087335614,4,0.6000139096604017,2000,PRUNED
17,9.666337427916005e-05,2026-05-19 00:07:51.967611,2026-05-19 00:08:07.183340,0 days 00:00:15.215729,112,1.0246748445375236,0.5097975228189386,0.005603029841417724,6,0.7991010874923367,4000,COMPLETE
18,0.0504189133644104,2026-05-19 00:08:07.195120,2026-05-19 00:08:07.445655,0 days 00:00:00.250535,48,44.231398593930834,2.302230307837834,0.0027790154491502904,5,0.6366104039797016,1000,PRUNED
19,0.1155768483877182,2026-05-19 00:08:07.452089,2026-05-19 00:08:07.684541,0 days 00:00:00.232452,96,8.229086558998668,0.060894794372568437,0.0011982448134112169,6,0.5281096358316664,2000,PRUNED
20,0.0672469288110733,2026-05-19 00:08:07.691199,2026-05-19 00:08:07.892960,0 days 00:00:00.201761,64,2.3083123192396884,9.807934335521601,0.006420381557327489,4,0.6662482553243512,3000,PRUNED
21,0.00012389832409098744,2026-05-19 00:08:07.899545,2026-05-19 00:08:28.659424,0 days 00:00:20.759879,96,4.384691240155528,0.236487944037281,0.0097332804462723,5,0.7904499880445636,4000,COMPLETE
22,0.028719715774059296,2026-05-19 00:08:28.670844,2026-05-19 00:08:29.156469,0 days 00:00:00.485625,112,5.863871873896023,0.35253317777183774,0.009937170128862544,5,0.7806239207051526,5000,PRUNED
23,0.061662063002586365,2026-05-19 00:08:29.166294,2026-05-19 00:08:29.384035,0 days 00:00:00.217741,96,1.5339213971428955,1.4229022620494547,0.005122950469508641,4,0.8845642877736568,4000,PRUNED
24,0.00011052697664126754,2026-05-19 00:08:29.393598,2026-05-19 00:08:53.237519,0 days 00:00:23.843921,80,3.1417639113887175,0.10525506803398074,0.002968835783743788,6,0.6786575096035401,5000,COMPLETE
25,0.0006364047876559198,2026-05-19 00:08:53.246481,2026-05-19 00:09:04.909744,0 days 00:00:11.663263,112,29.481940043322762,3.2697008961494207,0.00554575836055187,5,0.7631487771262789,4000,PRUNED
26,0.0002972205402329564,2026-05-19 00:09:04.917373,2026-05-19 00:09:23.505910,0 days 00:00:18.588537,128,10.67379250592378,0.19892490183295064,0.006901294124591142,6,0.8455128652121097,5000,COMPLETE
27,0.043273963034152985,2026-05-19 00:09:23.514908,2026-05-19 00:09:23.777304,0 days 00:00:00.262396,32,6.0033051947336675,0.40117933045286336,0.0027099096542930446,5,0.8135805043580835,4000,PRUNED
