trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step
70,complete,9.791968477657065e-05,80,6,0.8913240666838462,4.110311902397977,0.007408771387633091,0.7790522994689392,5000
79,complete,9.50672838371247e-05,64,4,0.05600989363387054,1.0009958646585486,0.005781272446649668,0.7228481054073705,5000
87,complete,4.509017526288517e-05,48,5,0.22935014314483232,1.123972797911625,0.007708100465019511,0.7308205034539312,5000
88,complete,7.262713188538328e-05,48,5,0.2317777113066453,1.120265513641534,0.007684015817731283,0.7498286055271542,5000
92,complete,0.00010489280248293653,48,5,0.1084668501331729,1.0067173336713453,0.008851274674300273,0.7517666518475381,5000
101,complete,0.0001454092562198639,48,5,0.07280419899825523,1.0140199370121237,0.00879301587940706,0.7585374528291564,5000
103,complete,0.00010140213998965919,48,5,0.09414018498510708,1.0043984351973327,0.007056620065118997,0.7309490800318786,5000
111,complete,8.55102261994034e-05,48,5,0.10962812647459712,1.0566775009963603,0.008820868444848971,0.7532165360369435,5000
113,complete,0.0001180379040306434,48,5,0.09377827607633575,1.0036081121408909,0.009952785458626174,0.7916775126121307,5000
121,complete,8.85292756720446e-05,48,5,0.11565455373124128,1.0614272422907256,0.009002835685699775,0.7502497523709994,5000
122,complete,0.0001346258941339329,48,5,0.07436379488684204,1.2132529727904915,0.009280332702260427,0.563072581099506,5000
126,complete,2.1569920136244036e-05,64,5,0.3730833846349221,1.4607801341572781,0.00898280855159325,0.5931812959997502,4000
129,complete,2.8996564651606604e-05,64,5,0.3300017590131373,1.3896702222842339,0.009962430092268569,0.5359447667109126,4000
168,complete,8.501042611896992e-05,64,6,0.24631851755584336,1.9504041493286324,0.006025768543590301,0.8050657763946333,5000
189,complete,4.889316187473014e-05,64,6,0.18539325572585533,1.0738615532984979,0.007831480008153329,0.45308283154174755,5000
191,complete,0.00010586889402475208,64,6,0.21587078957302516,1.0774152527305292,0.00935488854436679,0.459558648609065,5000
193,complete,0.0001849980471888557,64,6,0.21221204790038334,1.083957877981208,0.009021732868776828,0.467237184503416,5000
195,complete,0.0001448028488084674,64,6,0.2908485547531127,1.229688199479451,0.009925864413015035,0.5086675471053255,5000
198,complete,9.62970734690316e-05,64,6,0.19955997081651497,1.0141043524319433,0.008120023545765744,0.45190578670742243,5000
204,complete,0.00015795942454133183,64,6,0.17716755537800422,1.1674302213534957,0.008159521030962333,0.42618046818825883,5000
205,complete,0.0001666763419052586,48,6,0.12501026882955632,1.071428462654324,0.009997177673204136,0.45059601223005635,5000
208,complete,6.517557631013915e-05,80,6,0.06900131858772696,1.2083070787735308,0.00642795440569581,0.7300883011937405,5000
213,complete,0.00011133926454931498,64,6,0.21782434316863225,1.0013687872371504,0.009107181587086365,0.7517423430731066,5000
229,complete,0.00013131041487213224,64,6,0.06675048853780507,1.1851531379588718,0.007441080835513309,0.8250781080821217,5000
241,complete,0.0001132057950599119,64,6,0.19898483330818145,1.0242534850811889,0.009115336861676232,0.7557650676315614,5000
242,complete,6.80617376929149e-05,64,6,0.2207988971698223,1.0812388896049947,0.0092822296003177,0.7354197950899657,5000
243,complete,4.874711885349825e-05,64,6,0.27489290807553124,1.1489644294733514,0.00831816584187921,0.7338303803420556,5000
245,complete,0.00011878971417900175,64,6,0.2534755472304992,1.2856521537449992,0.00938492745116335,0.7368618857608631,5000
248,complete,9.46488362387754e-05,64,6,0.25514176738881383,1.0962995807331946,0.008598644126239265,0.7208454110903545,4000
319,complete,0.00014871210441924632,64,6,0.09489595792860828,1.0011693315368937,0.008953128065760917,0.694071507181383,4000
330,complete,0.00017618919082451612,64,6,0.6265496855611882,2.618973326010059,0.0084277802798439,0.7572580935300178,5000
433,complete,0.00016356939158868045,64,6,0.15988698219486386,1.0006721203318298,0.008252188762647024,0.7587014439968202,5000
524,complete,0.00018557935254648328,64,6,0.05325699037607919,1.0850646999452231,0.00856003941565014,0.7384349489333651,5000
567,complete,7.13329718564637e-05,64,6,0.3380643485114546,1.5118371879773356,0.009137010454251658,0.7498654364844215,5000
605,complete,9.196618339046836e-05,64,6,0.1627168150264294,1.258090781237619,0.008138609422551703,0.7177938114414215,5000
612,complete,0.00013543173554353416,64,6,0.21640781227716976,1.229265901006726,0.008637785040154018,0.7349165013294271,5000
618,complete,0.00013277855759952217,64,6,0.20467130091490002,1.2364547434717823,0.00997560116184212,0.741082304783388,5000
699,complete,0.0001593609486008063,64,6,0.17777811338859328,1.0821346834071355,0.008408731437860775,0.7522294651921657,5000
