epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.001613867119885981,0.08272779732942581,0.0014866087585687637,0.0005648572114296257,0.2500308156013489
100,0.0009539733873680234,0.01470243651419878,3.082914190599695e-05,0.00021950516384094954,0.03446844965219498
150,0.003162853652611375,0.012628510594367981,3.9582562749274075e-05,0.00018151728727389127,0.03254682198166847
200,0.001854478963650763,0.003345143049955368,4.118809044939553e-07,9.34585987124592e-05,0.009178932756185532
250,0.002456591697409749,0.0020696534775197506,1.6450745533802547e-05,5.514735676115379e-05,0.007726279087364674
300,0.0026392510626465082,0.003975272178649902,4.3218657083343714e-05,0.00011124076991109177,0.013290513306856155
350,0.0018876553513109684,0.0016053504077717662,1.000018642116629e-06,6.409423076547682e-05,0.0054392581805586815
400,0.0017621323931962252,0.001239101984538138,3.2668963285686914e-06,5.5529810197185725e-05,0.004617157857865095
450,0.0034812577068805695,0.016677742823958397,0.0007419916219078004,0.00026249303482472897,0.07371613383293152
500,0.0037104892544448376,0.001442971988581121,1.4884872143738903e-06,5.676038927049376e-05,0.006929721217602491
550,0.0012616458116099238,0.0011642423924058676,6.556014341185801e-06,5.5516837164759636e-05,0.004103059880435467
600,0.004485050681978464,0.15211717784404755,0.00927707552909851,0.0024655049201101065,0.7594437599182129
650,0.0022878919262439013,0.002708225743845105,9.90828630165197e-06,9.717503417050466e-05,0.00865407194942236
700,0.00426388019695878,0.00134357123170048,4.763160177390091e-08,5.5463686294388026e-05,0.007200367283076048
750,0.00442953547462821,0.0010028623510152102,7.796363554746222e-09,4.721872755908407e-05,0.006620109546929598
800,0.0008691849070601165,0.0008048598538152874,3.3679980333545245e-06,4.444496153155342e-05,0.0027804465498775244
850,0.001977843465283513,0.0006503188633359969,8.527952672920946e-07,3.8939262594794855e-05,0.0034369793720543385
900,0.002090584021061659,0.003681114874780178,0.00026094893109984696,5.829198198625818e-05,0.022020995616912842
950,0.0020076811779290438,0.0007972598541527987,7.634944267920218e-06,4.228678153594956e-05,0.004096781834959984
1000,0.002132226713001728,0.000697868992574513,1.3203401067585219e-05,4.606741276802495e-05,0.004258005414158106
