number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
12,0.041803039610385895,2026-05-17 19:16:20.514625,2026-05-17 19:16:20.713365,0 days 00:00:00.198740,0.9508628948013829,0.9933242425085733,16,4.9134607426653245,0.8776841507236638,0.0014927100562947297,4,0.501246379719334,3000,PRUNED
13,0.04716803506016731,2026-05-17 19:16:20.719913,2026-05-17 19:16:20.931432,0 days 00:00:00.211519,0.9160073034895497,0.9965040815389444,32,1.0166899745473283,0.01895586429373142,0.0005046171980949179,5,0.598137997847344,1000,PRUNED
14,0.026894161477684975,2026-05-17 19:16:20.938153,2026-05-17 19:16:21.127602,0 days 00:00:00.189449,0.9595045250937164,0.990899597197136,64,18.977332265487444,0.02861615252534139,0.008327206331858154,4,0.4408780773576747,4000,PRUNED
15,0.02769031934440136,2026-05-17 19:16:21.134215,2026-05-17 19:16:21.371329,0 days 00:00:00.237114,0.9211124064280072,0.9968876341631516,64,7.262501516994396,1.508625542422029,0.00011275168556952315,6,0.6699883256941306,2000,PRUNED
16,0.02930251695215702,2026-05-17 19:16:21.377519,2026-05-17 19:16:21.545599,0 days 00:00:00.168080,0.9638109311794699,0.9940190183315947,32,3.517517652479344,0.1372777160689881,0.00042431701248430966,3,0.42757821775818455,3000,PRUNED
17,0.002341160085052252,2026-05-17 19:16:21.551968,2026-05-17 19:16:34.362094,0 days 00:00:12.810126,0.9451181730903084,0.9998118760748022,112,29.774116313691238,0.3172350889991854,0.0017904319826816592,5,0.5529444411486362,1000,COMPLETE
18,0.024209553375840187,2026-05-17 19:16:34.374904,2026-05-17 19:16:34.606712,0 days 00:00:00.231808,0.9390697243200142,0.9996958617189643,128,32.030233222131905,0.040986507871846246,0.001953635438746009,5,0.8542621715322205,1000,PRUNED
19,0.012194034643471241,2026-05-17 19:16:34.615513,2026-05-17 19:16:34.844709,0 days 00:00:00.229196,0.9135124750050402,0.9968754479669326,112,96.06261224252233,3.296121283573555,0.0026446784545179442,6,0.3043773205266697,1000,PRUNED
20,0.0023777333553880453,2026-05-17 19:16:34.851978,2026-05-17 19:16:47.732198,0 days 00:00:12.880220,0.8516269346278574,0.9998390435719922,112,43.30246618698513,9.658318826868332,0.006520045173988281,5,0.5541230354891601,2000,COMPLETE
21,0.0346493273973465,2026-05-17 19:16:47.740582,2026-05-17 19:16:47.980551,0 days 00:00:00.239969,0.9462973257489928,0.9915423315245754,64,19.28392977771259,0.3436130741995665,0.0007378185327474629,6,0.5570835626419518,1000,PRUNED
22,0.01926768571138382,2026-05-17 19:16:47.987717,2026-05-17 19:16:48.212322,0 days 00:00:00.224605,0.9676536978215321,0.9931891457826653,96,10.693433825573663,0.27528671398688975,0.00036446390832397244,5,0.4630585869639746,3000,PRUNED
23,0.04538705572485924,2026-05-17 19:16:48.219286,2026-05-17 19:16:48.417578,0 days 00:00:00.198292,0.9274236976154624,0.9962191590605339,32,26.86560048416397,1.2333843179050172,0.0007115869024492462,4,0.6551338177826211,2000,PRUNED
24,0.04523693025112152,2026-05-17 19:16:48.423444,2026-05-17 19:16:48.619038,0 days 00:00:00.195594,0.9887808497158727,0.9975214702647083,48,6.951303469652722,0.06927666252557309,0.0013558013656389926,4,0.5473516572077353,4000,PRUNED
25,0.04607854783535004,2026-05-17 19:16:48.625263,2026-05-17 19:16:48.777157,0 days 00:00:00.151894,0.9517689873500383,0.9944066842252552,64,13.768125630464603,0.29851538420076684,0.00015437215956743308,2,0.40741358062983696,1000,PRUNED
26,0.009677938185632229,2026-05-17 19:16:48.783160,2026-05-17 19:16:49.026580,0 days 00:00:00.243420,0.9698667208355072,0.9935418283154438,112,56.542196341260876,2.3907416158120878,0.00028545860637577695,6,0.6430979546301927,3000,PRUNED
27,0.12622392177581787,2026-05-17 19:16:49.032628,2026-05-17 19:16:49.204819,0 days 00:00:00.172191,0.9077824329540221,0.9955366352369475,80,24.482692238205725,0.0053247626411375105,0.0006179398328217869,3,0.39889572202386026,2000,PRUNED
28,0.02835468389093876,2026-05-17 19:16:49.210929,2026-05-17 19:16:49.429828,0 days 00:00:00.218899,0.9465557649477716,0.9991632851403517,32,2.911459720551694,0.06598110956248468,0.0010050294040238848,5,0.7772183300604062,1000,PRUNED
29,0.004480358213186264,2026-05-17 19:16:49.435891,2026-05-17 19:16:49.819516,0 days 00:00:00.383625,0.901230829287445,0.9951761392241264,96,38.44134268653038,6.006346664001376,0.0003135147371630036,2,0.3767012046015913,1000,PRUNED
30,0.0023660839069634676,2026-05-17 19:16:49.825953,2026-05-17 19:17:04.352533,0 days 00:00:14.526580,0.9292119972545327,0.9902060151890628,48,5.472974162875081,0.21967810706513036,0.0017517449832933941,6,0.46751903186548976,2000,COMPLETE
31,0.02469855733215809,2026-05-17 19:17:04.361182,2026-05-17 19:17:04.523664,0 days 00:00:00.162482,0.977662678792129,0.9924290795156293,48,7.871808228632693,0.5547404112507144,0.00019607547923012453,2,0.5873535061531686,1000,PRUNED
32,0.026923149824142456,2026-05-17 19:17:04.530670,2026-05-17 19:17:04.678583,0 days 00:00:00.147913,0.9758977840361651,0.9926207954873426,64,9.641256019857519,0.500008820324762,0.00016603725539827518,2,0.62440167939107,1000,PRUNED
33,0.030684370547533035,2026-05-17 19:17:04.684822,2026-05-17 19:17:04.830198,0 days 00:00:00.145376,0.9899001792600166,0.9908234095562093,48,15.834643533493107,1.3997956327755499,0.00024234167100098828,2,0.5388296600845729,1000,PRUNED
34,0.021378351375460625,2026-05-17 19:17:04.836793,2026-05-17 19:17:05.004937,0 days 00:00:00.168144,0.9575545912339094,0.991623595836076,80,1.8357608808430006,0.18391627631471974,0.00015234262812650735,3,0.6910281395519463,5000,PRUNED
35,0.03043675422668457,2026-05-17 19:17:05.011376,2026-05-17 19:17:05.179874,0 days 00:00:00.168498,0.9815408340902858,0.9926337799747599,64,21.40583872895033,0.4159119287695713,0.00010123622038071508,3,0.5835079784677497,1000,PRUNED
36,0.04485525190830231,2026-05-17 19:17:05.187129,2026-05-17 19:17:05.327888,0 days 00:00:00.140759,0.9660310377990381,0.997991010833427,80,12.942113510759711,0.8349543931768498,0.0001890477832603488,2,0.5080231621627832,2000,PRUNED
37,0.09233468025922775,2026-05-17 19:17:05.335027,2026-05-17 19:17:05.526255,0 days 00:00:00.191228,0.9717983652898723,0.9939981017893883,32,58.29696114199657,0.08691970827775297,0.0002669033612728632,4,0.6258985193694555,4000,PRUNED
38,0.019153280183672905,2026-05-17 19:17:05.533217,2026-05-17 19:17:05.703004,0 days 00:00:00.169787,0.882791139717288,0.9920988649933634,96,10.305430458224926,0.9025904409293143,0.0001342746452433605,3,0.3773225469365581,5000,PRUNED
39,0.043528541922569275,2026-05-17 19:17:05.709963,2026-05-17 19:17:05.878822,0 days 00:00:00.168859,0.9817008448714892,0.9911337605534601,48,2.150075970018216,2.1522371692501707,0.0030204149807043614,3,0.47146589575285786,2000,PRUNED
40,0.16982313990592957,2026-05-17 19:17:05.885890,2026-05-17 19:17:06.070326,0 days 00:00:00.184436,0.9577565265202068,0.9988427576721848,16,35.17049128274032,0.10951450527348769,0.004854839095220224,4,0.5248339956190424,1000,PRUNED
41,0.0023709230590611696,2026-05-17 19:17:06.077313,2026-05-17 19:17:20.455267,0 days 00:00:14.377954,0.8520720882899544,0.9986637051785054,16,23.90853849907464,0.6669519971934834,0.003236584289516509,6,0.3321277287814543,2000,COMPLETE
42,0.0023659146390855312,2026-05-17 19:17:20.464522,2026-05-17 19:17:33.731802,0 days 00:00:13.267280,0.8591658494025599,0.9994469186425685,32,29.433091816307034,4.761483275261677,0.004246822616247162,6,0.3474163980602864,2000,COMPLETE
43,0.023476140573620796,2026-05-17 19:17:33.739927,2026-05-17 19:17:33.958174,0 days 00:00:00.218247,0.8769386669742881,0.9977361822802949,16,15.632241637594808,0.41748281927009623,0.0020207643172511142,5,0.4425363618653372,3000,PRUNED
44,0.0023474895860999823,2026-05-17 19:17:33.964309,2026-05-17 19:17:47.655703,0 days 00:00:13.691394,0.8696096426680888,0.9973069449544247,48,1.1850017402002953,0.1987535928771813,0.0025993211583144995,6,0.3071160237681454,1000,COMPLETE
45,0.0023680871818214655,2026-05-17 19:17:47.664026,2026-05-17 19:18:02.323949,0 days 00:00:14.659923,0.8966099613535606,0.9959638173877833,48,1.0710377247643357,0.16226194184561843,0.0013284875118206678,6,0.3176922960309674,1000,COMPLETE
46,0.009340549819171429,2026-05-17 19:18:02.332333,2026-05-17 19:18:02.592821,0 days 00:00:00.260488,0.940693277516266,0.9974375517392123,64,1.6537179969135383,0.21205329824608274,0.00022169363808459885,5,0.3604247342079502,1000,PRUNED
47,0.0023785948287695646,2026-05-17 19:18:02.600595,2026-05-17 19:18:17.192756,0 days 00:00:14.592161,0.8711417435141744,0.994782936760758,48,2.971762305860959,0.974687142167388,0.0023239694780249633,6,0.571284902154468,1000,COMPLETE
48,0.016309458762407303,2026-05-17 19:18:17.203356,2026-05-17 19:18:17.465272,0 days 00:00:00.261916,0.9516075113175224,0.9982210635071235,64,1.2403568056697478,0.0422575232867579,0.0005340538852414007,5,0.6137065153774401,1000,PRUNED
49,0.03885486349463463,2026-05-17 19:18:17.474660,2026-05-17 19:18:17.704692,0 days 00:00:00.230032,0.9645306431469385,0.9969630565573084,80,1.3740840221545834,0.008128313491269525,0.0003426926055399703,6,0.5223378929276362,1000,PRUNED
50,0.002381853060796857,2026-05-17 19:18:17.712285,2026-05-17 19:18:28.913003,0 days 00:00:11.200718,0.96086070522382,0.9931312889363622,128,4.464632055604505,0.3044771338803658,0.0010994683258447556,4,0.4814827472900801,3000,COMPLETE
51,0.0030715670436620712,2026-05-17 19:18:28.922011,2026-05-17 19:18:29.465173,0 days 00:00:00.543162,0.8594337060624468,0.9992945192640833,32,47.673428247645695,0.5997023611667962,0.004927049161764602,6,0.3029358824070182,2000,PRUNED
52,0.0028054933063685894,2026-05-17 19:18:29.474166,2026-05-17 19:18:30.303301,0 days 00:00:00.829135,0.8690704332403297,0.9983349404899344,48,2.286586937846931,1.8152408006473846,0.0035347910165897125,6,0.39012856216272396,1000,PRUNED
