trial,state,rmse,hidden,n_layers,lambda_phys,lambda_ic,lr,scheduler_gamma,scheduler_step,adam_beta1,adam_beta2
65,complete,0.0023585869930684566,48,6,1.6676976456855162,38.44316790187188,0.0032191405258314154,0.32334881762315987,4000,0.8790391623422729,0.9988250471785622
66,complete,0.002356321085244417,48,6,2.649145635473677,59.331047878636504,0.0029452157709374547,0.3709727717014774,4000,0.891995161362342,0.9988918590805583
67,complete,0.0023689044173806906,48,6,2.9786216825260214,63.08927616697304,0.0028637207897951335,0.7741717187713839,4000,0.8919179834370812,0.9952058302785186
71,complete,0.002355497796088457,48,6,1.6057176755894493,41.873491413861515,0.0033061827166608426,0.3164716647449042,4000,0.8791381792599896,0.9987512450640045
72,complete,0.0023581981658935547,48,6,1.9498322146331342,51.82459788873796,0.0021330807391080828,0.316057099610777,4000,0.8866907544727423,0.9977540520670491
75,complete,0.0023663288448005915,64,6,1.9467033799534055,40.99752932850582,0.004986373289749198,0.41006880656041206,4000,0.9014853471264117,0.9981408493303681
78,complete,0.0023579320404678583,48,6,2.4067678109375774,52.55662006112776,0.0026562740590332797,0.31525395537103773,4000,0.8921997106819963,0.9990540827741814
79,complete,0.0023612624499946833,64,6,1.1137516526706333,60.859369235690956,0.004104879466927537,0.45580396319447597,5000,0.8920014112009725,0.9991390976407755
80,complete,0.002358502708375454,96,5,4.60252948688515,42.54855323061231,0.003466458730406088,0.3834958086279159,4000,0.8981215319195405,0.9996779607415776
88,complete,0.0023649197537451982,128,5,1.5839736784737732,25.560200863469333,0.0037428848079762446,0.3312335628064654,3000,0.8758432844987202,0.9961479102589886
104,complete,0.0023569385521113873,112,4,1.3901075227911674,59.69303723750052,0.0028434115376025585,0.31152541259524297,4000,0.9012193946857696,0.9985760336085832
118,complete,0.002358916914090514,48,6,3.35241537046111,77.92644908430474,0.002150750448481773,0.5545064292105234,4000,0.8863621792644006,0.99900684147255
121,complete,0.0023519089445471764,48,6,1.7790425000346717,37.71955066762757,0.0031529502902899486,0.3210144902249558,4000,0.8786755438668764,0.9998890221677623
124,complete,0.002357294550165534,48,6,5.799586509159231,50.8665728933827,0.00333093847462242,0.36401072590811656,4000,0.8679471430545946,0.9998835054177809
135,complete,0.0023464530240744352,32,6,2.2884944095826447,40.78198317837695,0.003953605715255495,0.37837017322172417,4000,0.8783383752268937,0.9989232655658166
144,complete,0.0023630887735635042,64,6,0.2531014349944598,46.81296435855915,0.003260136290707484,0.3103273746224793,4000,0.8873687914365772,0.9946025207479153
153,complete,0.002357711084187031,48,6,2.269891762986049,42.22796594474927,0.0033023612237394477,0.3114763909792497,4000,0.8829884381739382,0.9985324585028184
157,complete,0.0023304016795009375,64,5,2.1839678253153982,45.568208048937976,0.001781296236606211,0.6150099204011396,1000,0.8761315265418002,0.999509484529655
160,complete,0.0023442956153303385,64,3,1.3217855743439593,14.595143518504399,0.002403523929892102,0.6165538966364642,1000,0.8828878912432055,0.9991104380875999
168,complete,0.0023629404604434967,48,6,0.15355801517588524,8.164249513334521,0.0025692937672798706,0.5789199903158163,1000,0.8760681782365719,0.9989469551074753
187,complete,0.002357443794608116,64,6,0.8971710295336673,54.81327455403339,0.003951902621538276,0.3719414742850742,4000,0.8911631018296081,0.9996014607965025
197,complete,0.0023436076007783413,48,6,1.8434153656057528,35.82332711766259,0.0023274345172995554,0.5122836046647,1000,0.8798757879993382,0.9915308763347098
198,complete,0.0023403868544846773,64,6,0.514960958209581,34.586113230966056,0.0019524588355873684,0.5095207726556473,1000,0.8682671210363909,0.9918169724609995
