number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
25,0.00020571037020999938,2026-05-19 00:38:59.866124,2026-05-19 00:39:00.199292,0 days 00:00:00.333168,128,7.826137228572346,0.12886130394222522,0.007435641936722313,3,0.8995296906256215,3000,PRUNED
26,0.0002959863340947777,2026-05-19 00:39:00.206380,2026-05-19 00:39:00.695303,0 days 00:00:00.488923,96,1.6907547666443021,0.034249207666032205,0.003976618424663234,5,0.513584368473617,2000,PRUNED
27,4.820772574021248e-06,2026-05-19 00:39:00.702935,2026-05-19 00:39:05.127030,0 days 00:00:04.424095,32,3.0049108705012264,0.20658845360482753,0.009844740666241506,4,0.4400959692133456,4000,COMPLETE
28,0.001531265676021576,2026-05-19 00:39:05.140265,2026-05-19 00:39:05.568383,0 days 00:00:00.428118,32,1.4210945699545467,0.21030217578695268,0.005479067416962432,4,0.31473960321418987,4000,PRUNED
29,0.02676774002611637,2026-05-19 00:39:05.574932,2026-05-19 00:39:05.757959,0 days 00:00:00.183027,16,3.3841200446772457,0.07405285131293232,0.0024481958627542827,3,0.4011510095556791,4000,PRUNED
30,0.1627734750509262,2026-05-19 00:39:05.764553,2026-05-19 00:39:05.967145,0 days 00:00:00.202592,32,14.269518120202557,0.004996815458620041,0.00036843835523768704,4,0.4278877085809434,4000,PRUNED
31,1.0395410754426848e-05,2026-05-19 00:39:05.973292,2026-05-19 00:39:10.738412,0 days 00:00:04.765120,48,4.525253727455095,0.9299352290403025,0.00897415672460068,6,0.5004176597664287,1000,COMPLETE
32,0.00023208845232147723,2026-05-19 00:39:10.747860,2026-05-19 00:39:11.204473,0 days 00:00:00.456613,48,2.7979280616310676,1.306565929370561,0.007351677769373115,6,0.36902146168717814,1000,PRUNED
33,0.004233377519994974,2026-05-19 00:39:11.211722,2026-05-19 00:39:11.463996,0 days 00:00:00.252274,32,6.743143235518523,0.01737526938752251,0.004589406399406064,6,0.4499039998576778,1000,PRUNED
34,8.122553117573261e-05,2026-05-19 00:39:11.470866,2026-05-19 00:39:11.758594,0 days 00:00:00.287728,48,9.735606201950779,0.39557509187673356,0.008113875689556146,2,0.4998978292296817,3000,PRUNED
35,0.08770312368869781,2026-05-19 00:39:11.765572,2026-05-19 00:39:12.003852,0 days 00:00:00.238280,16,2.1736222321579737,1.2408417934874263,0.00016123356366734302,6,0.39121922716351737,1000,PRUNED
36,0.00017640393343754113,2026-05-19 00:39:12.010275,2026-05-19 00:39:12.261506,0 days 00:00:00.251231,32,19.560334434287714,4.433718150745411,0.006336103391471955,2,0.5627438366695938,4000,PRUNED
37,0.00016075778694357723,2026-05-19 00:39:12.268086,2026-05-19 00:39:12.706743,0 days 00:00:00.438657,48,2.9986976362010718,0.29741025111774305,0.003273009733365835,6,0.47896104837588543,3000,PRUNED
