epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.0031928422395139933,0.18655112385749817,0.080319844186306,0.0006649148417636752,0.17955458164215088
100,0.0018365350551903248,0.05732610076665878,0.006112119648605585,0.0001473910378990695,0.032104749232530594
150,0.0018809305038303137,0.03215453401207924,0.0008019033703021705,0.0005118068656884134,0.01547444798052311
200,0.0038937442004680634,0.07082680612802505,0.0012995385332033038,0.00019145637634210289,0.03323471173644066
250,0.0022941234055906534,0.0030363707337528467,1.0084434507007245e-05,1.7539452528581023e-05,0.003493191208690405
300,0.004137182608246803,0.005828459747135639,9.893752576317638e-05,3.1446314096683636e-05,0.00654138857498765
350,0.0037850779481232166,0.0080437446013093,0.00019811133097391576,6.200312782311812e-05,0.007182407192885876
400,0.0007696725660935044,0.0008371531730517745,1.9612478354247287e-05,5.515724478755146e-05,0.0011219535954296589
450,0.0014826805563643575,0.004208887927234173,9.000757563626394e-05,2.795924046949949e-05,0.0032427392434328794
500,0.0034395945258438587,0.0030374496709555387,7.995555642992258e-05,4.223620271659456e-05,0.0047291116788983345
550,0.0021636546589434147,0.000397040625102818,3.346601033626939e-06,2.3136119125410914e-05,0.0023230595979839563
600,0.002287469105795026,0.0017649601213634014,0.00010669473704183474,4.3259624362690374e-06,0.0031143762171268463
650,0.0017051019240170717,0.010603451170027256,0.00046925453352741897,6.229694554349408e-05,0.006451673340052366
700,0.003304588608443737,0.0003644712269306183,1.055571556207724e-05,1.869819789135363e-05,0.003460559993982315
750,0.001748852082528174,0.0014553871005773544,9.084977500606328e-05,1.4439799087995198e-05,0.002434417139738798
800,0.002325403271242976,0.009285652078688145,0.0003930584935005754,9.111598046729341e-05,0.006459035445004702
850,0.003336213296279311,0.0045591979287564754,9.198102634400129e-05,2.0455721823964268e-05,0.0052356538362801075
900,0.0014744224026799202,0.0008087230962701142,3.5193363146390766e-05,1.089789566321997e-05,0.0018356736982241273
950,0.0012938447762280703,0.0007077165646478534,1.4448006368183997e-05,3.0076829716563225e-05,0.001588910585269332
1000,0.0015834012301638722,0.011848881840705872,0.00041516925557516515,0.00027289154240861535,0.006746777333319187
1050,0.0028886517975479364,0.001375293475575745,0.00012163879000581801,9.078888069780078e-06,0.0035826016683131456
1100,0.002678695134818554,0.0008242293260991573,2.062202838715166e-05,1.3304515050549526e-05,0.0030272286385297775
1150,0.0016088513657450676,0.0003010195214301348,2.2643223928753287e-05,1.1199478649359662e-05,0.001755611738190055
