number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
70,0.009704198688268661,2026-05-17 19:28:27.598665,2026-05-17 19:28:27.738820,0 days 00:00:00.140155,0.9540860155437458,0.9957026623261818,64,1.013405259658728,0.0037122303636027633,0.0019235251441753647,2,0.581600197713238,5000,PRUNED
71,0.002893822966143489,2026-05-17 19:28:27.745018,2026-05-17 19:28:28.817036,0 days 00:00:01.072018,0.8652297765430969,0.9934469074348387,64,1.3495207209189655,0.22082001446389252,0.005086370953528668,4,0.651491397291921,4000,PRUNED
72,0.002589917741715908,2026-05-17 19:28:28.823687,2026-05-17 19:28:38.262749,0 days 00:00:09.439062,0.8562340077304904,0.9928479088176845,64,1.256248366463324,0.09917568335100396,0.00476652696140117,4,0.6275096147227266,5000,COMPLETE
73,0.00457737036049366,2026-05-17 19:28:38.270669,2026-05-17 19:28:38.467596,0 days 00:00:00.196927,0.8697479516257008,0.9930603541096533,80,1.809068192411379,0.0011273568002424996,0.004388357608360485,4,0.7869663912640248,5000,PRUNED
74,0.003999488428235054,2026-05-17 19:28:38.474728,2026-05-17 19:28:38.675788,0 days 00:00:00.201060,0.9018206714702112,0.9926017625984384,80,2.402721170522744,0.10257806901868005,0.009912302044079993,4,0.6137428563510826,5000,PRUNED
75,0.00288359634578228,2026-05-17 19:28:38.681717,2026-05-17 19:28:38.976959,0 days 00:00:00.295242,0.8545963000618142,0.991254768630885,64,1.545468241562173,0.05444083635422159,0.0033745944762931528,3,0.6855643032178703,5000,PRUNED
76,0.00256076967343688,2026-05-17 19:28:38.983730,2026-05-17 19:28:50.686008,0 days 00:00:11.702278,0.8596481154698667,0.9960131856977361,48,1.2884822564493892,0.3906223522989708,0.0015611406558087887,5,0.6330807150815704,5000,COMPLETE
77,0.0028556857723742723,2026-05-17 19:28:50.696949,2026-05-17 19:28:51.101619,0 days 00:00:00.404670,0.8784905508901152,0.9959728986569945,48,2.954344363854096,0.636341457347322,0.0014780196104965699,5,0.31607217063954557,3000,PRUNED
78,0.002790795173496008,2026-05-17 19:28:51.108463,2026-05-17 19:28:51.514102,0 days 00:00:00.405639,0.9425484777306279,0.9953190064232881,32,2.157296917405114,0.38135548179437795,0.0012754367504659483,5,0.5150897795776146,3000,PRUNED
79,0.06819315254688263,2026-05-17 19:28:51.520979,2026-05-17 19:28:51.772371,0 days 00:00:00.251392,0.9097129939694881,0.9971246745789827,32,1.979731506872391,0.14751324326102352,0.00014603931182269737,6,0.38150076743798556,2000,PRUNED
