run,nu_true,nu_pred,abs_error,rel_error_pct,best_val_loss,ic,nu_class
1,0.2650867948685271,0.3703089952468872,0.10522220037836011,39.69348998713659,0.000422616460127756,Step_down,high
2,0.026334458341392555,0.03854776918888092,0.012213310847488366,46.37768010702335,1.705413160379976e-05,Gauss,low
3,0.031532013836616184,0.03837648406624794,0.006844470229631756,21.706416422041826,7.777459541102871e-05,Step_up,low
4,0.04022522242459197,0.04152124747633934,0.0012960250517473695,3.221921405598085,6.702388054691255e-05,Step_down,low
5,0.040572182908978384,0.06901711225509644,0.02844492934611805,70.10943781342206,8.94472686923109e-05,Gauss,low
6,0.1183208038040753,0.12213094532489777,0.0038101415208224715,3.2201788682331784,5.992608748783823e-06,Gauss,high
7,0.0211523932616442,0.02375936321914196,0.002606969957497759,12.324704468430046,7.540431397501379e-05,Step_down,low
8,0.04878377862126381,0.06201116368174553,0.013227385060481718,27.11431019555378,0.0010259844129905105,N_wave,low
9,0.33379673836968765,0.42855304479599,0.09475630642630234,28.38742729755421,0.0007624641293659806,Step_down,high
10,0.4485874627205429,0.22809471189975739,0.2204927508207855,49.15267793789105,0.0015139516908675432,N_wave,high
11,0.4212768059146528,0.3614547550678253,0.05982205084682746,14.200176702570925,1.2919386790599674e-05,Gauss,high
12,0.06083479820912788,0.05758464336395264,0.0032501548451752404,5.342591643030346,0.00025067897513508797,Step_down,high
13,0.017734582518841035,0.047187384217977524,0.02945280169913649,166.07552880281304,0.00011611396621447057,Gauss,low
14,0.4105783018030081,0.3735598623752594,0.037018439427748684,9.016170427220922,0.0011758088367059827,N_wave,high
15,0.16462010962966467,0.10179030150175095,0.06282980812791372,38.16654494354179,0.00012909351789858192,Step_up,high
16,0.21245930796729545,0.20722214877605438,0.00523715919124107,2.465017532697246,7.80928439780837e-06,Gauss,high
17,0.01861643299578759,0.03767905384302139,0.019062620847233803,102.39674190832999,3.187832044204697e-05,Gauss,low
18,0.03669237812156236,0.04883226752281189,0.012139889401249528,33.08558894991735,2.136775219696574e-05,Gauss,low
19,0.2848078016771354,0.26457029581069946,0.020237505866435912,7.10567117447773,6.97989753462025e-06,Gauss,high
20,0.04656890265592424,0.026946142315864563,0.019622760340059678,42.13704687233676,8.69183786562644e-05,Step_up,low
21,0.027698676321521284,0.018983548507094383,0.0087151278144269,31.46405883538713,4.110796726308763e-05,Step_up,low
