epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total,nu_hat
50,0.03235466405749321,0.0024484978057444096,0.026131251826882362,0.01338502112776041,0.014400766231119633,2.8038148880004883,1.4284775257110596
100,0.018351489678025246,0.0033870330080389977,0.009324782527983189,0.0027094711549580097,0.008149301633238792,1.0117948055267334,1.2521390914916992
150,0.012440899387001991,0.0027758937794715166,0.004253534600138664,0.0005492166383191943,0.005379353649914265,0.47104549407958984,1.10089111328125
200,0.006174963898956776,0.0012838548282161355,0.0006671379087492824,0.0011627975618466735,0.004856999032199383,0.09735527634620667,0.9579928517341614
250,0.002638466889038682,0.0003923122421838343,3.6161160096526146e-05,2.5829020160017535e-05,0.0015785351861268282,0.010435995645821095,0.8795346021652222
300,0.0010541806695982814,0.0007973850006237626,2.7949281502515078e-05,2.43902704823995e-05,0.0008761959616094828,0.012066861614584923,0.823405921459198
350,0.0018050697399303317,0.0008052598568610847,0.0016513154841959476,0.0002926418383140117,0.0032568462193012238,0.17791564762592316,0.777962863445282
400,0.0012287964345887303,0.0004271603829693049,2.3044221961754374e-05,1.4262807781051379e-05,0.0007872802671045065,0.007947450503706932,0.7383874654769897
450,0.000596759666223079,0.0002644503256306052,0.0002639657468535006,5.863344995304942e-05,0.0009956993162631989,0.03022417239844799,0.7022300958633423
500,0.0005210146773606539,0.0001042345684254542,3.2649568311171606e-05,1.1899846867891029e-05,0.0005872001638635993,0.004947315435856581,0.6758391857147217
550,0.0002533813240006566,0.00017845841648522764,2.5343613742734306e-05,7.603951416967902e-06,0.00039606462814845145,0.00464836647734046,0.6546351313591003
600,0.0004680259444285184,8.897155930753797e-05,1.908929152705241e-05,1.2170389709353913e-05,0.00037485623033717275,0.0033883745782077312,0.6319459676742554
650,0.0003392782236915082,0.00029522139811888337,1.2495647752075456e-05,5.869636424904456e-06,0.00030169409001246095,0.004599753301590681,0.6130217909812927
700,0.00047348684165626764,6.949255475774407e-05,3.345574441482313e-05,1.6077170585049316e-05,0.0003064543998334557,0.0046747587621212006,0.5943771600723267
750,0.00043157130130566657,0.00010552738967817277,7.026975799817592e-05,3.104496136074886e-05,0.0003210356517229229,0.008824271149933338,0.5809909701347351
800,0.00020281046454329044,0.00011853306932607666,1.2252036867721472e-05,7.116618689906318e-06,0.00020731447148136795,0.002684511011466384,0.5657669305801392
850,0.0002680752950254828,8.636289567220956e-05,6.274875431699911e-06,4.440403699845774e-06,0.0002059740072581917,0.0018035958055406809,0.5520879030227661
900,0.000512201339006424,0.00027802312979474664,6.911997479619458e-05,6.123582716099918e-05,0.00034766533644869924,0.010816789232194424,0.5400224924087524
950,0.000324564753100276,0.00012996542500331998,9.080339623324107e-06,4.877852006757166e-06,0.0001401282788719982,0.0025810315273702145,0.5192514657974243
