epoch,loss_data,loss_phys,loss_ic,loss_bc,loss_val,loss_total,nu_hat
50,0.050133176147937775,0.0018316394416615367,0.02918599732220173,0.0001765052875271067,0.06695494800806046,2.988814353942871,1.0297605991363525
100,0.03643003851175308,0.0022777793928980827,0.019646573811769485,0.005000415723770857,0.02950046956539154,2.073869466781616,0.8429422378540039
150,0.034050218760967255,0.0040766093879938126,0.013665295206010342,0.003504947992041707,0.029071565717458725,1.4763952493667603,0.830109179019928
200,0.029059050604701042,0.007605139631778002,0.00021477807604242116,0.0017856272170320153,0.030783670023083687,0.1444445252418518,0.6647928953170776
250,0.006357178557664156,0.001813097158446908,3.9879614632809535e-05,0.00015144009375944734,0.013422856107354164,0.029990512877702713,0.48571908473968506
300,0.009429926052689552,0.0008766339742578566,2.236069121863693e-05,5.116013198858127e-05,0.011351542547345161,0.020943935960531235,0.43132805824279785
350,0.00986448023468256,0.0005833723698742688,0.00018918186833616346,0.0004453572619240731,0.009772569872438908,0.03906996175646782,0.40726619958877563
400,0.004281101748347282,0.00040794454980641603,1.4542537428496871e-05,1.3599725207313895e-05,0.009159199893474579,0.009950798004865646,0.38782259821891785
450,0.005355847533792257,0.00038977808435447514,2.4450306227663532e-05,2.5928155082510784e-05,0.007877897471189499,0.011957940645515919,0.37063679099082947
500,0.005133377388119698,0.0002071138733299449,3.481114254100248e-05,7.291044312296435e-05,0.0071334633976221085,0.011414734646677971,0.3510771095752716
550,0.01072370633482933,0.0002180480514653027,1.8019893104792573e-05,3.642649244284257e-05,0.006575360894203186,0.015070440247654915,0.32966315746307373
600,0.004197741858661175,0.00019216978398617357,1.9501019778545015e-05,2.477052839822136e-05,0.0059136273339390755,0.008317247033119202,0.30926886200904846
650,0.010380246676504612,0.0002577608684077859,1.3006882909394335e-05,3.3634129067650065e-05,0.005246036686003208,0.01459488458931446,0.29190048575401306
700,0.003551808185875416,0.00022031579283066094,2.0006889826618135e-05,1.4362583897309378e-05,0.004982065409421921,0.007899281568825245,0.27455154061317444
750,0.006482601631432772,0.00012318661902099848,7.497189471905585e-06,3.683431259560166e-06,0.004736511968076229,0.00850102212280035,0.25645866990089417
800,0.0024286408443003893,0.00012294042971916497,4.176681613898836e-05,3.558225216693245e-05,0.0046399300917983055,0.008190549910068512,0.2425849884748459
850,0.004913573618978262,0.00016565891564823687,1.1301789527351502e-05,2.2908234313945286e-05,0.004154848866164684,0.007929423823952675,0.22881776094436646
900,0.0012666251277551055,0.00012496592535171658,0.00010127683344762772,5.8547546359477565e-05,0.004395855125039816,0.01322944276034832,0.21829453110694885
950,0.0018944209441542625,0.00015763840929139405,1.6123958630487323e-05,1.8042508600046858e-05,0.003790640039369464,0.005263626109808683,0.20468875765800476
1000,0.0055532753467559814,0.00010989776637870818,1.1048233318433631e-05,7.924000783532392e-06,0.0036214131396263838,0.007836315780878067,0.1960042119026184
1050,0.0055986070074141026,7.795354758854955e-05,1.0557002497080248e-05,3.7669340144930175e-06,0.0034030613023787737,0.007471512071788311,0.18972520530223846
1100,0.009357061237096786,6.24826061539352e-05,0.0002959624689538032,0.0003438439453020692,0.003578844014555216,0.043016571551561356,0.18347902595996857
1150,0.0030012347269803286,6.549312092829496e-05,1.5135569810809102e-05,2.2307562176138163e-05,0.0032888869754970074,0.005392798222601414,0.17637231945991516
1200,0.0032511092722415924,9.007132757687941e-05,6.128914719738532e-06,2.9623479349538684e-06,0.00314380694180727,0.004794337321072817,0.16920419037342072
1250,0.002319558057934046,5.008445441490039e-05,7.562759037682554e-06,6.3256334215111565e-06,0.0030069807544350624,0.003639934817329049,0.16367743909358978
1300,0.005504983011633158,6.55880430713296e-05,5.7025223213713616e-05,6.307553121587262e-05,0.002943797502666712,0.012494141235947609,0.15880511701107025
1350,0.0013254330260679126,8.656389400130138e-05,8.015971616259776e-06,3.7693389458581805e-06,0.002729801693931222,0.0030303625389933586,0.15328647196292877
1400,0.000487938174046576,4.941332008456811e-05,1.612468622624874e-05,1.7868553186417557e-05,0.0026595608796924353,0.0027732253074645996,0.14890946447849274
1450,0.0003606172977015376,7.67058227211237e-05,5.879345553694293e-05,4.330911178840324e-05,0.0025551877915859222,0.007440112065523863,0.1453859955072403
1500,0.00170665024779737,9.187755495076999e-05,4.526020711637102e-05,3.030098378076218e-05,0.00247644679620862,0.0074544562958180904,0.1397455781698227
1550,0.0032457043416798115,6.136490264907479e-05,5.9309854805178475e-06,1.3319847766979365e-06,0.002402104437351227,0.004465771373361349,0.1360083967447281
1600,0.003738273400813341,4.6855799155309796e-05,3.4230495202791644e-06,2.439682020849432e-06,0.0024929074570536613,0.004573533311486244,0.13122400641441345
1650,0.0022898658644407988,5.4875690693734214e-05,5.573770522460109e-06,1.0757473773992388e-06,0.0021837225649505854,0.003406757256016135,0.12777483463287354
1700,0.0007268892368301749,5.009406595490873e-05,1.2828656508645508e-05,1.309715662500821e-05,0.0020805271342396736,0.0026416671462357044,0.1236579418182373
1750,0.0016831399407237768,4.831357364309952e-05,1.4037193068361375e-05,6.323128900476149e-07,0.002035302808508277,0.0035763182677328587,0.12028659135103226
1800,0.004496007226407528,5.72243588976562e-05,6.950740043976111e-06,3.923234999092529e-06,0.0019319260027259588,0.005802557338029146,0.11744818836450577
1850,0.002247145865112543,4.363666084827855e-05,9.847218279901426e-06,9.680828952696174e-06,0.0018058879068121314,0.003765042405575514,0.11424271762371063
1900,0.0002228398370789364,3.736000871867873e-05,8.210898158722557e-06,7.202700999187073e-06,0.0017867903225123882,0.0014895567437633872,0.1104482114315033
1950,0.0006313043413683772,4.553160761133768e-05,2.2572969101020135e-05,5.091533239465207e-06,0.0017097610980272293,0.0033948326017707586,0.1069350317120552
2000,0.0029277007561177015,5.604141188086942e-05,5.314593636285281e-06,3.360237315064296e-06,0.0016701481072232127,0.0040531768463552,0.10447951406240463
2050,0.0004550951416604221,3.097993248957209e-05,4.1352235712110996e-05,1.263013564312132e-05,0.0016914006555452943,0.005026419181376696,0.10200714319944382
2100,0.0012817123206332326,3.091487815254368e-05,8.940220141084865e-06,9.120272807194851e-06,0.0015627845423296094,0.0025760859716683626,0.0996508002281189
2150,0.0050474475137889385,2.4208386093960144e-05,7.85810061643133e-06,4.9011096052709036e-06,0.0014924886636435986,0.006124352570623159,0.09739143401384354
2200,0.0040307617746293545,4.030327181681059e-05,5.0766568165272474e-05,3.698407090269029e-05,0.0014335527084767818,0.009880292229354382,0.09562484174966812
2250,0.0014645474730059505,2.1804749849252403e-05,6.104737622081302e-06,4.806526703760028e-06,0.001409693039022386,0.0023411340080201626,0.09282530844211578
2300,0.0012438853736966848,3.968776945839636e-05,9.354727808386087e-06,2.8810184176109033e-06,0.0014290845720097423,0.002605046145617962,0.09037278592586517
