epoch,loss_data,loss_phys,loss_ic,loss_val,loss_total
50,0.0,0.2740395665168762,0.0043132612481713295,0.09967607259750366,0.31717216968536377
100,0.0,0.22153118252754211,0.0014318734174594283,0.08401990681886673,0.23584991693496704
150,0.0,0.1774989515542984,0.0008220105664804578,0.07024654746055603,0.1857190579175949
200,0.0,0.09550758451223373,0.00010336990817449987,0.046859435737133026,0.09654128551483154
250,0.0,0.08204284310340881,5.238501034909859e-05,0.04043640196323395,0.08256669342517853
300,0.0,0.08114369958639145,2.9332984922803007e-05,0.03927654027938843,0.08143702894449234
350,0.0,0.06996232271194458,6.485445919679478e-05,0.0346984900534153,0.07061086595058441
400,0.0,0.06343729048967361,4.37118906120304e-05,0.03112824633717537,0.06387440860271454
450,0.0,0.126571923494339,0.0003163892251905054,0.052503861486911774,0.1297358125448227
500,0.0,0.06243571639060974,6.852225487818941e-05,0.03099362924695015,0.06312093883752823
550,0.0,0.05774905905127525,3.781772466027178e-05,0.027810227125883102,0.05812723562121391
600,0.0,0.05300720036029816,3.0121858799248002e-05,0.025194883346557617,0.05330841988325119
650,0.0,0.0440509133040905,2.199234404542949e-05,0.020548904314637184,0.0442708358168602
700,0.0,0.04636241868138313,0.000487065757624805,0.02144697494804859,0.05123307555913925
750,0.0,0.03521803766489029,1.7727970771375112e-05,0.014887558296322823,0.035395316779613495
800,0.0,0.033767957240343094,1.150849220721284e-05,0.01336799468845129,0.03388304263353348
850,0.0,0.032605454325675964,1.0897289030253887e-05,0.012639149092137814,0.03271442651748657
900,0.0,0.035352613776922226,0.00019882740161847323,0.015301190316677094,0.037340886890888214
950,0.0,0.0315544493496418,8.933411663747393e-06,0.012071482837200165,0.03164378181099892
1000,0.0,0.030056146904826164,1.0144975931325462e-05,0.011134546250104904,0.03015759587287903
1050,0.0,0.028683045879006386,8.93605738383485e-06,0.01025304477661848,0.02877240628004074
1100,0.0,0.02708941511809826,8.063252607826144e-06,0.009303182363510132,0.027170047163963318
1150,0.0,0.024576304480433464,6.9394404818012845e-06,0.007997424341738224,0.024645699188113213
1200,0.0,0.018282504752278328,3.759801757041714e-06,0.005444337613880634,0.018320102244615555
1250,0.0,0.044411905109882355,0.00012703171523753554,0.020808469504117966,0.04568222165107727
1300,0.0,0.029252463951706886,6.310162007139297e-06,0.011944416910409927,0.029315564781427383
1350,0.0,0.027255000546574593,2.2537531549460255e-05,0.0102604441344738,0.02748037502169609
1400,0.0,0.024800797924399376,8.929890100262128e-06,0.008197534829378128,0.024890096858143806
1450,0.0,0.0232892744243145,5.98991391598247e-06,0.00725694140419364,0.023349173367023468
1500,0.0,0.020753584802150726,5.143237558513647e-06,0.0060931914485991,0.02080501802265644
1550,0.0,0.014230092987418175,3.4348067856626585e-06,0.003966997843235731,0.014264441095292568
1600,0.0,0.024698155000805855,0.0010325907496735454,0.00835995189845562,0.03502406179904938
1650,0.0,0.0121688824146986,1.5879572856647428e-06,0.0027834903448820114,0.01218476239591837
1700,0.0,0.011019016616046429,1.315924578193517e-06,0.0018791157053783536,0.011032176204025745
1750,0.0,0.010410652495920658,1.1890643918377464e-06,0.0016397604485973716,0.010422542691230774
1800,0.0,0.009857773780822754,1.0197068149864208e-06,0.0014346528332680464,0.009867970831692219
1850,0.0,0.009235907346010208,8.774387083576585e-07,0.0012521697208285332,0.00924468133598566
1900,0.0,0.008546690456569195,7.598049478474422e-07,0.0011011083843186498,0.008554288186132908
1950,0.0,0.0080577302724123,6.395793548108486e-07,0.0010251710191369057,0.008064125664532185
