number,value,datetime_start,datetime_complete,duration,params_hidden,params_lambda_ic,params_lambda_phys,params_lr,params_n_layers,params_scheduler_gamma,params_scheduler_step,state
10,0.01919294334948063,2026-05-19 10:10:17.249235,2026-05-19 10:10:17.496420,0 days 00:00:00.247185,128,1.0862348973937128,7.553503645583189,0.0020124870829750945,5,0.8445988771695108,1000,PRUNED
11,9.453984603169374e-06,2026-05-19 10:10:17.503067,2026-05-19 10:10:21.077213,0 days 00:00:03.574146,80,1.078313102013456,0.12775215110810637,0.007791470666172783,4,0.7444221836847316,2000,COMPLETE
12,4.955172698828392e-07,2026-05-19 10:10:21.086104,2026-05-19 10:10:24.739161,0 days 00:00:03.653057,96,1.0201113652123812,1.0267094629542988,0.007956692282233665,4,0.740957287747034,2000,COMPLETE
13,5.476701517181937e-06,2026-05-19 10:10:24.752367,2026-05-19 10:10:29.039756,0 days 00:00:04.287389,96,3.2323534348361185,4.135860453609436,0.002012962831034317,5,0.7631577502561161,2000,COMPLETE
14,2.3253614926943555e-06,2026-05-19 10:10:29.052011,2026-05-19 10:10:32.751979,0 days 00:00:03.699968,128,1.0111248797295136,0.8387744815011882,0.0018766870441105819,4,0.7410619834032235,2000,COMPLETE
15,4.38593224316719e-06,2026-05-19 10:10:32.766930,2026-05-19 10:10:37.103416,0 days 00:00:04.336486,128,5.069600917348214,2.491233903441562,0.0018449423462897506,4,0.6877965078726933,2000,COMPLETE
16,0.00019276337116025388,2026-05-19 10:10:37.113767,2026-05-19 10:10:37.922820,0 days 00:00:00.809053,96,2.1926824717449196,0.26518036882151624,0.0014425540650734175,4,0.5973709633416708,1000,PRUNED
17,0.016817374154925346,2026-05-19 10:10:37.931014,2026-05-19 10:10:38.128320,0 days 00:00:00.197306,112,47.507472315742596,0.049027403564167196,0.003484228189457654,4,0.5817085615954312,3000,PRUNED
18,2.900482058976195e-06,2026-05-19 10:10:38.136394,2026-05-19 10:10:42.386957,0 days 00:00:04.250563,96,1.6995888913376278,1.8701016971334423,0.004903814798968554,5,0.7014283407227422,4000,COMPLETE
19,0.0028389915823936462,2026-05-19 10:10:42.399739,2026-05-19 10:10:42.584853,0 days 00:00:00.185114,128,4.424953543422653,0.444281819459846,0.00034352487171563175,3,0.8984232822351942,2000,PRUNED
20,0.0035260184668004513,2026-05-19 10:10:42.591675,2026-05-19 10:10:42.802554,0 days 00:00:00.210879,80,3.373966241651291,9.760347577201744,0.001262231143848418,4,0.531998343238509,4000,PRUNED
21,0.0011704890057444572,2026-05-19 10:10:42.810049,2026-05-19 10:10:43.029549,0 days 00:00:00.219500,96,1.6452301896278672,2.4678645339851037,0.005113258691925766,5,0.7067625365609452,4000,PRUNED
22,1.6016019799280912e-06,2026-05-19 10:10:43.036065,2026-05-19 10:10:47.456587,0 days 00:00:04.420522,64,1.447195329736351,1.6566214124230756,0.009770906647138616,5,0.7988634584534464,4000,COMPLETE
23,0.0002856983046513051,2026-05-19 10:10:47.466955,2026-05-19 10:10:47.935984,0 days 00:00:00.469029,64,1.403423093533812,0.4531115229984265,0.0027785749049236146,5,0.8170555375371218,2000,PRUNED
24,4.61081162939081e-06,2026-05-19 10:10:47.942910,2026-05-19 10:10:51.889673,0 days 00:00:03.946763,64,2.7172583687433396,1.1450168560708571,0.009557305500712796,4,0.7685667439083331,1000,COMPLETE
25,0.014765728265047073,2026-05-19 10:10:51.904014,2026-05-19 10:10:52.123494,0 days 00:00:00.219480,64,1.3343376463783772,5.098119821208537,0.002757007439834074,3,0.6428493968364364,3000,PRUNED
26,0.00321976444683969,2026-05-19 10:10:52.130493,2026-05-19 10:10:52.355548,0 days 00:00:00.225055,48,5.81306942890767,0.0697799628173791,0.006645150105967686,4,0.7366425322027266,3000,PRUNED
27,0.08378301560878754,2026-05-19 10:10:52.362301,2026-05-19 10:10:52.605543,0 days 00:00:00.243242,112,2.2912654344737233,3.4706243106465156,0.009756514344284824,5,0.7888963443035315,4000,PRUNED
